metaphor-id,metaphor-name,pos,mean_similarity,baseline_performance,test_statistic,p_value
1,importance is size,all,0.23396479829938877,0.31758140976809796,-20.567676134081616,7.212660076743827e-71
2,active is life,all,0.3125999476243224,0.4069026060382214,-19.58813608791335,7.780478488203864e-66
3,life is journey,all,0.22152309109353358,0.33041566311443843,-23.533102361810162,2.8321979894288722e-86
4,failure is death,all,0.258591638205366,0.32807185380057324,-16.3309419846246,1.5548913277269618e-49
5,success is life,all,0.21778702782467008,0.335870858297942,-27.36117047241754,3.478190641750998e-106
6,perceiving is eating,all,0.17342496601243815,0.3360713365479476,-48.35595549342777,9.189671024774935e-205
7,affection is warmth,all,0.2357431079985367,0.3233854777086526,-19.782504877576276,7.866427335029582e-67
8,money is liquid,all,0.20213534688163134,0.31928603182815846,-36.23841781720586,1.3792311550723117e-150
9,good is up,all,0.21258503291755915,0.33259597416180703,-29.769907446799422,1.5012134425931493e-118
10,bad is down,all,0.21443630071977773,0.3241203578829559,-26.066389536143433,1.7903251878201343e-99
1,importance is size,ADJ,0.16158520337194204,0.29544327497792744,-12.574998940337291,7.825788019491594e-19
2,active is life,ADJ,0.20306617487221956,0.30639960237778724,-7.880038685327726,5.784494131793967e-11
3,life is journey,ADJ,0.21966344909742475,0.3254828976672143,-5.6893845418947775,3.5554611631422077e-07
4,failure is death,ADJ,0.21106912195682526,0.30183272028031444,-6.547786060848543,1.218826135734371e-08
5,success is life,ADJ,0.1364119192585349,0.3428893320912806,-14.363297426285003,1.523910027316198e-21
6,perceiving is eating,ADJ,0.1151787219569087,0.2767183247401068,-14.550314267181166,8.123543186313285e-22
7,affection is warmth,ADJ,0.15068741887807846,0.26228828677907584,-7.188395216497973,9.376400090970785e-10
8,money is liquid,ADJ,0.18167106295004487,0.33037708902172747,-10.439628175605831,2.2752697490212193e-15
9,good is up,ADJ,0.169392473064363,0.3287148335116605,-12.115600555930847,4.153554517726256e-18
10,bad is down,ADJ,0.14658627659082413,0.3120607959081729,-15.143496581456736,1.1372690481175862e-22
1,importance is size,VERB,0.27788905380293727,0.3305901741789033,-3.4864435028565675,0.0008974549562565994
2,active is life,VERB,0.21549568884074688,0.45354456164951745,-16.700000268474252,8.0367736073392615e-25
3,life is journey,VERB,0.2208045283332467,0.29512053844084346,-4.263573920346791,6.865437518533757e-05
4,failure is death,VERB,0.2272113049402833,0.29708233113276455,-5.653683143065855,4.081077277948926e-07
5,success is life,VERB,0.2309200121089816,0.2694907347640643,-3.406724909182502,0.0011498574823551677
6,perceiving is eating,VERB,0.14827006123960018,0.3191431325407078,-17.346501689495685,1.11863520172679e-25
7,affection is warmth,VERB,0.12812655325978994,0.2896398505574713,-17.03309468819375,2.892066825634355e-25
8,money is liquid,VERB,0.10592996794730425,0.26687027894022564,-21.006584922490507,3.747450115694302e-30
9,good is up,VERB,0.1283040288835764,0.2889954515701781,-17.84772157982382,2.5066612697443289e-26
10,bad is down,VERB,0.17756235972046852,0.32277714697644116,-11.00095006807353,2.654901151753715e-16
1,importance is size,NOUN,0.18382209353148937,0.2821419714180132,-7.861440290408979,6.234578089144995e-11
2,active is life,NOUN,0.23226836044341326,0.3097664182844261,-5.579137612116326,5.438355939552481e-07
3,life is journey,NOUN,0.18018625490367413,0.3197889711440851,-10.78783550860343,5.977139284589166e-16
4,failure is death,NOUN,0.19002736452966928,0.2873049848712981,-5.952522193905762,1.2781888325360432e-07
5,success is life,NOUN,0.1408794792369008,0.28538217778938507,-11.026554650401454,2.4090968809540185e-16
6,perceiving is eating,NOUN,0.1251517105847597,0.3149608107265085,-20.197975603838454,3.243293095018807e-29
7,affection is warmth,NOUN,0.19949631672352552,0.31106237779930235,-7.342877092877391,5.036269196692969e-10
8,money is liquid,NOUN,0.08424568828195333,0.2895403788325688,-29.50974602638522,1.352365982320979e-38
9,good is up,NOUN,0.17382157873362303,0.34176300063729287,-14.08517784580636,3.915985024366774e-21
10,bad is down,NOUN,0.11363366711884737,0.262445992320776,-14.198639638755933,2.6613877569803915e-21
