metaphor-id,metaphor-name,pos,mean_similarity,baseline_performance,test_statistic,p_value
1,importance is size,all,0.25969167975568314,0.3414534571807326,-23.511535613650285,2.218069292647985e-91
2,active is life,all,0.30477603010843485,0.4027203758248116,-21.88103597756492,5.94016182643766e-82
3,life is journey,all,0.2272288696265515,0.3322470184679569,-25.229496823835202,2.0792006368639702e-101
4,failure is death,all,0.2666539696999538,0.3323749998419741,-16.68780948547355,3.4871155035587177e-53
5,success is life,all,0.22559059904926598,0.34058129339699666,-29.686495927153352,1.5926409812528135e-127
6,perceiving is eating,all,0.18392156941409954,0.33217277469513595,-50.089539244833354,4.483453426635055e-238
7,affection is warmth,all,0.24651123295105043,0.32858820853961834,-20.997049536302665,6.754163623018971e-77
8,money is liquid,all,0.18813865309880104,0.31800197942508956,-44.047835156388444,1.6267530770880756e-207
9,good is up,all,0.21937104254266035,0.33934021355524474,-35.07826819946514,1.3432449380092218e-158
10,bad is down,all,0.25363979082866295,0.34298793545300943,-24.871326845160567,2.5937075714247615e-99
1,importance is size,ADJ,0.15160103565380897,0.2957696896631409,-14.63996436961547,2.4336721976161804e-24
2,active is life,ADJ,0.1913418600588669,0.296672953473749,-8.78167309607091,2.359524767559173e-13
3,life is journey,ADJ,0.22440938817130196,0.3229211530174922,-5.937375451751199,7.12138583904533e-08
4,failure is death,ADJ,0.20051578754260216,0.29960303667187693,-7.969037747267711,9.299877500947354e-12
5,success is life,ADJ,0.1659930024617984,0.35536251049081763,-13.262508846792842,6.7491798242847875e-22
6,perceiving is eating,ADJ,0.1320670438401493,0.277493652958009,-13.997116874371297,3.262652372522814e-23
7,affection is warmth,ADJ,0.1786002450519138,0.28359212242508375,-7.8906310417492795,1.3241686302293184e-11
8,money is liquid,ADJ,0.16877119298334475,0.32488667386604675,-12.809411111297745,4.518240867563611e-21
9,good is up,ADJ,0.17041972831443505,0.33225551107636203,-14.006714795351947,3.137425768727021e-23
10,bad is down,ADJ,0.17089480897526682,0.3117712709053799,-15.664919456091079,4.3256235838867716e-26
1,importance is size,VERB,0.2616313832041658,0.3159288790408108,-3.9220349808648725,0.00018447187136710926
2,active is life,VERB,0.2117231179166723,0.4401958115665173,-17.58551729070301,3.251423491955646e-29
3,life is journey,VERB,0.20925415813187023,0.2948264606081777,-5.324557036928546,9.049132625645409e-07
4,failure is death,VERB,0.21095130252249447,0.29275959303092075,-6.728291285726624,2.3489472597439103e-09
5,success is life,VERB,0.22052179957613532,0.2674770813225596,-4.283467612370883,5.0806426571869496e-05
6,perceiving is eating,VERB,0.155214406825878,0.3145602708497533,-17.968271523255925,8.190139275658597e-30
7,affection is warmth,VERB,0.1315973268614875,0.2824448568175236,-17.42694389619229,5.786665926663935e-29
8,money is liquid,VERB,0.09618661285918435,0.2690915393928687,-23.607617334770495,8.447261828870343e-38
9,good is up,VERB,0.12374784328319409,0.28877252712128343,-19.428560704110676,4.998001632188237e-32
10,bad is down,VERB,0.17518199520346558,0.3330520688129796,-13.95497262103979,3.874940519528896e-23
1,importance is size,NOUN,0.17592658231287828,0.2804251670809807,-9.13798865696608,4.705440930477461e-14
2,active is life,NOUN,0.21934821134732094,0.309455526423675,-6.726950964602078,2.3627959901756368e-09
3,life is journey,NOUN,0.16964470162803744,0.3176235336931767,-12.616118450146653,1.0243028910675942e-20
4,failure is death,NOUN,0.18652969304426217,0.2854460737429283,-6.5034473206448515,6.271406364185585e-09
5,success is life,NOUN,0.14800169364905652,0.28697706547103546,-12.142079896946363,7.762849824466601e-20
6,perceiving is eating,NOUN,0.1280392320067794,0.31275602830560123,-21.553762181648978,4.6158674282148357e-35
7,affection is warmth,NOUN,0.2078056541489966,0.3151866231935996,-7.690595714799218,3.256700950952072e-11
8,money is liquid,NOUN,0.08088083841182568,0.28684520318165974,-35.15703241635187,2.0675440381275605e-50
9,good is up,NOUN,0.16873100216006054,0.3339417882495457,-15.752388993354236,3.0858816265402914e-26
10,bad is down,NOUN,0.1542016194190508,0.27659310972138684,-12.419239372068933,2.3681385203682817e-20
