metaphor_id,metaphor_name,pos,mean_similarity,baseline_performance,test_statistic,p_value
1,importance is size,all,0.2519440483301878,0.2812125810095006,-7.6641175463439355,7.702741907348138e-14
2,active is life,all,0.31475638230848646,0.318936787609787,-1.1017226425151176,0.27104321642913154
3,life is journey,all,0.29963374556973577,0.33791293154512014,-8.400962179216247,3.477237396667814e-16
4,failure is death,all,0.32081232452765107,0.3001793983073698,5.040327273482936,6.235129640946e-07
5,success is life,all,0.25431556440889835,0.28764005567723266,-8.258993953326813,1.0137391572835308e-15
6,perceiving is eating,all,0.2696118802867002,0.3056844154109971,-9.59068114933724,2.6266010027757012e-20
7,affection is warmth,all,0.19657201956336698,0.3100560779703988,-25.468356261837947,2.3091029571372406e-96
8,money is liquid,all,0.22202663330568206,0.28421271635985207,-18.021052961537826,6.842120275499387e-58
9,good is up,all,0.22320548062109286,0.29369276495443447,-17.99102755036429,9.678069871733645e-58
10,bad is down,all,0.21505521641423306,0.26592811665332144,-12.87772937887997,1.5987833070664668e-33
1,importance is size,ADJ,0.2323832125402987,0.2628381874865542,-1.8032108614883293,0.0761374627873784
2,active is life,ADJ,0.32318167900666595,0.2988461640663445,1.4974830426594237,0.13926141088731833
3,life is journey,ADJ,0.24279359821230173,0.32517372507726156,-4.279027745530882,6.506619699381708e-05
4,failure is death,ADJ,0.24676739145070314,0.2742345062239716,-2.038259116548906,0.04572698902979032
5,success is life,ADJ,0.23206412233412266,0.2931063670214887,-3.9597738501959934,0.00019349305030167787
6,perceiving is eating,ADJ,0.2612066101282835,0.24517736986031133,1.129872889717571,0.26281332958867004
7,affection is warmth,ADJ,0.1597336931154132,0.25310230445985993,-7.2335585168442655,7.819070735745804e-10
8,money is liquid,ADJ,0.157752126455307,0.24885369354858997,-7.880396131320034,5.776170126395365e-11
9,good is up,ADJ,0.1898367078974843,0.2904837147972236,-9.427471616788047,1.1871050929070025e-13
10,bad is down,ADJ,0.1304024290293455,0.2728244744346787,-11.885720557812922,9.670543681018537e-18
1,importance is size,VERB,0.16416489984840155,0.25329700237140057,-7.691136237263374,1.238332679402333e-10
2,active is life,VERB,0.16634416673332453,0.3185016297089557,-12.236022463101241,2.674798449674482e-18
3,life is journey,VERB,0.16109418217092752,0.2643435780070722,-8.072415477789932,2.665578509380816e-11
4,failure is death,VERB,0.21993167139589787,0.26949730605383715,-3.381323350299083,0.0012434945543371876
5,success is life,VERB,0.18085836432874203,0.24840501553192734,-5.667147008821631,3.874405271439936e-07
6,perceiving is eating,VERB,0.10065571032464504,0.2653343669977039,-19.988529038276717,5.731650227485816e-29
7,affection is warmth,VERB,0.11050013918429613,0.27337139161489904,-18.75726595211712,1.783518952872051e-27
8,money is liquid,VERB,0.15113744046539068,0.2355023632068187,-10.05280358443157,1.0195846211113933e-14
9,good is up,VERB,0.16713279485702515,0.2428713671285659,-5.357003672776299,1.2709941456017274e-06
10,bad is down,VERB,0.16547176241874695,0.22172983572383723,-3.94990427461923,0.00019998993482652364
1,importance is size,NOUN,0.2016320452094078,0.25779828497519097,-4.469495351042604,3.3334376405164554e-05
2,active is life,NOUN,0.1667501823976636,0.28415327445976435,-9.49509002144041,9.088707565847316e-14
3,life is journey,NOUN,0.17946548573672771,0.26503200295629603,-6.630113629412729,8.779663849001046e-09
4,failure is death,NOUN,0.24083838146179914,0.28485409504113096,-2.7107995640489624,0.008638446808155632
5,success is life,NOUN,0.13598079793155193,0.25247805158359315,-8.918048536083607,8.976637127280845e-13
6,perceiving is eating,NOUN,0.18588581681251526,0.2724156754830231,-8.070756173750834,2.6834430392201442e-11
7,affection is warmth,NOUN,0.19739998411387205,0.27213373832156257,-4.717660752329616,1.368611643164763e-05
8,money is liquid,NOUN,0.12091570440679789,0.2586086887307465,-15.069655538421141,1.449140254908223e-22
9,good is up,NOUN,0.21436448767781258,0.3037985056781521,-7.253881870440158,7.205254899727451e-10
10,bad is down,NOUN,0.16128694266080856,0.24672524317788577,-7.655038519591046,1.4322262799806733e-10
