metaphor-id,metaphor-name,pos,mean_similarity,baseline_performance,test_statistic,p_value
1,importance is size,all,0.24872718549069064,0.2829205548301524,-10.444991043127775,6.832819131338215e-24
2,active is life,all,0.2974253361853062,0.3151659607502321,-4.7011918299924575,3.0938619877919263e-06
3,life is journey,all,0.2963335858696282,0.3334402157347879,-8.704681998260963,2.1161958911170122e-17
4,failure is death,all,0.3184557006846403,0.29768553999047953,5.606459037495796,2.932494814443886e-08
5,success is life,all,0.26655497631908937,0.29122442130404125,-7.234638410797171,1.1858533594648944e-12
6,perceiving is eating,all,0.26966035656314163,0.3023457792956888,-9.036073835164302,1.442835714299873e-18
7,affection is warmth,all,0.20143563270732373,0.3141571216255794,-28.486827276639005,1.655470791301131e-120
8,money is liquid,all,0.21594132840715155,0.2794433573611357,-21.314816993245355,1.0412184568932837e-78
9,good is up,all,0.22736487974028202,0.2994484295445828,-19.634822981453656,3.286878949296416e-69
10,bad is down,all,0.21968121211388147,0.30174797600857267,-24.30326665630768,5.410186136409324e-96
1,importance is size,ADJ,0.23078673158162905,0.2677556386231272,-2.696723245003097,0.008535707234088146
2,active is life,ADJ,0.3068565075044279,0.2903104938754329,1.0776253744805386,0.28443972725943484
3,life is journey,ADJ,0.24768007905394943,0.32130900688248654,-4.1213821230921335,9.129966545093384e-05
4,failure is death,ADJ,0.24568178918626574,0.26822497141968327,-1.875831589477712,0.06432606026414335
5,success is life,ADJ,0.25783291753427484,0.30765104294292356,-3.5549349488348616,0.0006381586212931687
6,perceiving is eating,ADJ,0.26150030854307577,0.2472850653026943,1.0609574359271048,0.2919017907194767
7,affection is warmth,ADJ,0.20952092276679146,0.2703964007171216,-5.18668269604644,1.578718883344765e-06
8,money is liquid,ADJ,0.1494354451144183,0.24485907047821417,-9.569923624273533,6.690209112881443e-15
9,good is up,ADJ,0.17377817262837916,0.2869585376922731,-11.455400744940642,1.5237602601002462e-18
10,bad is down,ADJ,0.1351369457480348,0.2729155505255417,-13.499537604191387,2.5210273743470665e-22
1,importance is size,VERB,0.16023615333769056,0.249644417617608,-9.097331622012847,5.65532316897881e-14
2,active is life,VERB,0.1617411279384001,0.3091379712373018,-13.524947116649866,2.269384252646068e-22
3,life is journey,VERB,0.1590226277892972,0.26156832543291425,-9.030607684961112,7.647930299507077e-14
4,failure is death,VERB,0.19812799603850753,0.2627255787645225,-4.808880783270076,7.0133176029755765e-06
5,success is life,VERB,0.16471535703282297,0.24522253601694546,-7.1308163295593205,3.9733037736534357e-10
6,perceiving is eating,VERB,0.11847814586427477,0.27564564015081633,-21.078337658665845,2.1113902904221947e-34
7,affection is warmth,VERB,0.1253156735573286,0.28638832413046444,-20.72664954720639,6.603394946953322e-34
8,money is liquid,VERB,0.14264041553308934,0.24043166119136192,-13.11712756632903,1.2388807361049135e-21
9,good is up,VERB,0.18206975857416788,0.24601655027159938,-4.79794342366792,7.31694453412888e-06
10,bad is down,VERB,0.21320813673513908,0.2544973274099606,-3.23213260107022,0.0017852809646523693
1,importance is size,NOUN,0.19980113005932468,0.258351494009848,-5.4809856332833355,4.777616875364712e-07
2,active is life,NOUN,0.15765240236564917,0.27765336571689003,-10.966861428410214,1.3034535707443082e-17
3,life is journey,NOUN,0.1887716562659652,0.26467571009916285,-6.869598552718963,1.2620049330028915e-09
4,failure is death,NOUN,0.22550256311157604,0.28070575521555213,-3.692996342705877,0.00040358218328542805
5,success is life,NOUN,0.13787826638162873,0.2538960933718416,-10.935505948454301,1.4970839382910096e-17
6,perceiving is eating,NOUN,0.19150936897890067,0.27239652822746163,-8.07809869474071,5.68588147751147e-12
7,affection is warmth,NOUN,0.2134787697850922,0.28234279525611133,-4.736238400236373,9.285192875520858e-06
8,money is liquid,NOUN,0.11106911485577807,0.25438625079393384,-17.372378581715108,7.061335465724386e-29
9,good is up,NOUN,0.19838912693070776,0.29305273476960486,-7.801990235635373,1.9736243524325008e-11
10,bad is down,NOUN,0.17025212226090608,0.250204359366386,-8.24939392551953,2.6228338331951815e-12
