metaphor_id,metaphor_name,pos,mean_similarity,baseline_performance,test_statistic,p_value
1,importance is size,all,0.2692130037541252,0.28812321648627154,-5.7791124583651685,1.1134529894224138e-08
2,active is life,all,0.30338788330963773,0.3156822360057246,-3.2516480566846226,0.0012002424060299187
3,life is journey,all,0.2840131797990027,0.3359840031315883,-12.743994699638758,1.0063414013988836e-33
4,failure is death,all,0.3112068408882994,0.29796288347759364,3.57606186343566,0.0003718667418187883
5,success is life,all,0.25959821415372675,0.297389842407663,-10.923516421813742,7.920977064585411e-26
6,perceiving is eating,all,0.2929835938867718,0.3081624431203545,-4.058291403385157,5.478105914150062e-05
7,affection is warmth,all,0.22802547327612,0.31831126550723005,-23.195436190833078,1.52113424156412e-89
8,money is liquid,all,0.2181779336700387,0.2841950519835508,-20.58225789032377,1.5306075120637922e-74
9,good is up,all,0.2476467070756135,0.3019513590722172,-14.321923253394543,3.6025027493587096e-41
10,bad is down,all,0.24085941882126943,0.3060554504861802,-18.982225942261934,1.3972287573623477e-65
1,importance is size,ADJ,0.24200014420497565,0.2692684320961987,-1.994110397754909,0.04954693165931732
2,active is life,ADJ,0.3121823050357677,0.2932218227717611,1.2437173244599182,0.21723575636578338
3,life is journey,ADJ,0.24485059211283555,0.3242859904804716,-4.554327461285681,1.8574710973092274e-05
4,failure is death,ADJ,0.24771827164991403,0.2705327007163454,-1.8373833339498185,0.06986637514063489
5,success is life,ADJ,0.25840209626857147,0.310329469455613,-3.630027072825728,0.0004980384168994345
6,perceiving is eating,ADJ,0.27835958460230886,0.24955265268738622,2.1059278738502645,0.03834631185162747
7,affection is warmth,ADJ,0.23045052054487628,0.27437894202768803,-3.6761555016878735,0.0004270223214261573
8,money is liquid,ADJ,0.12020303805669148,0.25149380292550283,-14.496867503409371,4.317533196908195e-24
9,good is up,ADJ,0.1742020492200498,0.28769659804801145,-11.11980378957311,6.641093456772231e-18
10,bad is down,ADJ,0.1458699666423562,0.2761644285840017,-12.938012929573507,2.6274103429113392e-21
1,importance is size,VERB,0.15463965616108458,0.25243837799297436,-9.023587362286111,7.894743884536925e-14
2,active is life,VERB,0.1510693762037489,0.30931356046928293,-13.971019789925043,3.629213427876141e-23
3,life is journey,VERB,0.16782404684726102,0.26781340432443007,-8.913285902695797,1.3004901283046446e-13
4,failure is death,VERB,0.17917978837166304,0.25404065027612227,-6.206361593153415,2.263569896611522e-08
5,success is life,VERB,0.16718605271092168,0.24530092969316025,-6.821051075681688,1.562794404374457e-09
6,perceiving is eating,VERB,0.12302562925550672,0.2779811082096012,-19.597626091587276,2.814506506978225e-32
7,affection is warmth,VERB,0.13850500333456345,0.2888684657607918,-18.40972859325644,1.7070559931353443e-30
8,money is liquid,VERB,0.17275337083840075,0.23735820954265419,-8.141907428294255,4.262638343368566e-12
9,good is up,VERB,0.18531436463932932,0.2418021687456855,-4.3243540936376705,4.373868642343944e-05
10,bad is down,VERB,0.21198756606490524,0.2615232587313211,-4.158694057276111,7.986419455502161e-05
1,importance is size,NOUN,0.183220656565678,0.2627666462703987,-7.48920072989085,8.03607639628539e-11
2,active is life,NOUN,0.16068173043521833,0.2831431552938841,-11.165489711697514,5.431715728438572e-18
3,life is journey,NOUN,0.2124275756470951,0.2741801339520348,-5.452246913782755,5.375482876275441e-07
4,failure is death,NOUN,0.23205994235144722,0.28613322157826687,-3.643890062317079,0.0004755949774916571
5,success is life,NOUN,0.1424512708628619,0.26121336952182983,-11.0174612552065,1.042572881526994e-17
6,perceiving is eating,NOUN,0.22422785302739084,0.27883490936844435,-4.802560771908127,7.187233982513139e-06
7,affection is warmth,NOUN,0.21412918081989996,0.2813404126156259,-4.574546551695907,1.7208597437660784e-05
8,money is liquid,NOUN,0.13016654091116822,0.25816747570810494,-13.709496382826396,1.059856635700805e-22
9,good is up,NOUN,0.23679820622926878,0.29877732825279235,-4.811680512098979,6.937590499861929e-06
10,bad is down,NOUN,0.15969624710671695,0.2535994230337717,-9.247140765799559,2.8726859266505094e-14
