baseline,corpus,weighted,method,pos,metaphor,similarity_value,baseline_value,test_stat,p_value
mixedBL,gutenberg,unweighted,canberra,all,1 importance is size,0.115582920071644,0.1781485977471951,-25.83626883622442,2.8131835832755068e-98
mixedBL,gutenberg,unweighted,canberra,all,2 active is life,0.1791977742265967,0.2073394134176726,-11.348474148627329,4.491566290422612e-27
mixedBL,gutenberg,unweighted,canberra,all,3 life is journey,0.1519615582337514,0.1722612678004894,-10.204184156807685,1.3929799376764514e-22
mixedBL,gutenberg,unweighted,canberra,all,4 failure is death,0.1571745413625903,0.1753720345507808,-7.199541505520924,1.898776937437044e-12
mixedBL,gutenberg,unweighted,canberra,all,5 success is life,0.2008112313402845,0.1789055820418552,8.027394896054274,5.636527053200414e-15
mixedBL,gutenberg,unweighted,canberra,all,6 perceiving is eating,0.1217629003432968,0.1789346154525435,-24.20389061566483,8.982293086502636e-90
mixedBL,gutenberg,unweighted,canberra,all,7 affection is warmth,0.1165139164503193,0.1736991474174606,-26.403472402901723,3.179037049920035e-101
mixedBL,gutenberg,unweighted,canberra,all,8 money is liquid,0.1252933929795179,0.1656604638244586,-20.92879876476304,9.83980318934987e-73
mixedBL,gutenberg,unweighted,canberra,all,9 good is up,0.1292674349248097,0.163528125933389,-13.746529653425094,2.2056975237189366e-37
mixedBL,gutenberg,unweighted,canberra,all,10 bad is down,0.1264805663771396,0.1770569098776996,-21.146857932168107,7.322945926281171e-74
mixedBL,gutenberg,unweighted,canberra,ADJ,1 importance is size,0.080825779524303,0.1245508769809656,-7.305221227720965,5.860478824414362e-10
mixedBL,gutenberg,unweighted,canberra,ADJ,2 active is life,0.1776688260240164,0.1307759756880214,4.835148051416949,8.91834553914016e-06
mixedBL,gutenberg,unweighted,canberra,ADJ,3 life is journey,0.1615995203687824,0.1280628268718453,4.048694322220494,0.0001434293722893
mixedBL,gutenberg,unweighted,canberra,ADJ,4 failure is death,0.1328846435538065,0.1239371007820221,1.0381590686660076,0.3031642096128533
mixedBL,gutenberg,unweighted,canberra,ADJ,5 success is life,0.1407414784037866,0.1510817711203602,-1.216231205907078,0.2284341987210006
mixedBL,gutenberg,unweighted,canberra,ADJ,6 perceiving is eating,0.0646057340388963,0.139586175672233,-15.539678736329522,3.134814593165704e-23
mixedBL,gutenberg,unweighted,canberra,ADJ,7 affection is warmth,0.0751514430814739,0.109475120792685,-4.817388328954859,9.517343455878442e-06
mixedBL,gutenberg,unweighted,canberra,ADJ,8 money is liquid,0.104291994592336,0.1319906077585408,-3.568831437801573,0.0006923504968151
mixedBL,gutenberg,unweighted,canberra,ADJ,9 good is up,0.0863451895412526,0.1187471539676405,-4.733382600114969,1.2926968821411868e-05
mixedBL,gutenberg,unweighted,canberra,ADJ,10 bad is down,0.0775174644657646,0.1281565526064045,-8.795096947597763,1.4665750531966849e-12
mixedBL,gutenberg,unweighted,canberra,VERB,1 importance is size,0.1305706888841691,0.119485809246931,1.253312897949448,0.2147233592200494
mixedBL,gutenberg,unweighted,canberra,VERB,2 active is life,0.1147426047773694,0.1874718728857,-7.616831298757455,1.6706133882514122e-10
mixedBL,gutenberg,unweighted,canberra,VERB,3 life is journey,0.1124270942104543,0.1243448733812406,-1.4989977924569111,0.1388687637274913
mixedBL,gutenberg,unweighted,canberra,VERB,4 failure is death,0.164257564554007,0.1282410966987077,3.909209475504417,0.0002290631179839
mixedBL,gutenberg,unweighted,canberra,VERB,5 success is life,0.1021227188750033,0.1169645253802163,-2.173372889656834,0.0335191395899209
mixedBL,gutenberg,unweighted,canberra,VERB,6 perceiving is eating,0.1008780781689457,0.1151974410898723,-2.1857004989486404,0.0325623266603156
