metaphor,mean_similarity_wiki,mean_similarity_gutenberg,mean_baseline_wiki,mean_baseline_gutenberg,mean_test_stat_wiki,mean_test_stat_gutenberg,mean_p_value_wiki,mean_p_value_gutenberg,amount_pos_sign_wiki,amount_pos_sign_gutenberg,amount_pos_insign_wiki,amount_pos_insign_gutenberg,amount_neg_sign_wiki,amount_neg_sign_gutenberg,amount_neg_insign_wiki,amount_neg_insign_gutenberg
10 bad is down,0.22625173529029716,0.19893650361283555,0.2247750953954393,0.27537499548954714,-0.7030141554146614,-11.739102795859075,0.07137364043790882,6.209537885083344e-05,24,4,6,0,28,60,6,0
3 life is journey,0.25034351574707886,0.21721586099893145,0.24570695203099563,0.2772025650389822,1.1832466395905015,-8.503111787377833,0.1071394782817663,0.03546391331722095,24,5,2,1,27,51,11,7
6 perceiving is eating,0.24035229663718435,0.17238094250458533,0.2316477139327205,0.2737845310972029,1.3606338561214353,-19.130138856080375,0.07422507194406022,0.04297501053465225,32,0,5,2,23,60,4,2
4 failure is death,0.27877059087113054,0.2402693392612733,0.2352386778234194,0.26821728065377276,6.1553312484445675,-3.998251054242404,0.09978069837068168,0.06686623279390685,41,10,6,6,10,41,7,7
1 importance is size,0.25495970902918547,0.220311063130519,0.2254769809692544,0.26958995384823453,4.539135314443483,-8.624036376224534,0.08322449219934672,0.060940946028372744,25,6,8,5,24,49,7,4
5 success is life,0.24432098940060942,0.22516954779693876,0.23280792484489338,0.27566633415478475,2.152709506635985,-6.652627390768091,0.09847516216533979,0.018281362610272474,22,13,9,3,27,47,6,1
2 active is life,0.2633990315099207,0.25723501541794325,0.252002461281055,0.31871435732071557,2.494128304948181,-7.398787937114335,0.041874076758912894,0.04928917048451007,28,6,4,6,25,49,7,3
9 good is up,0.2325913211383228,0.19054182734223463,0.2371234310822541,0.2770327393736858,-1.0313874806512031,-12.654903481257863,0.11123293932064762,0.007457316779922255,18,5,8,0,29,57,9,2
7 affection is warmth,0.223748929041183,0.20106600626374746,0.24090387592843354,0.263636458350753,-2.800081224539282,-9.54844369258157,0.11174396785840784,0.059542511048673585,24,0,6,4,29,55,5,5
8 money is liquid,0.20992240523384295,0.15910506108434888,0.22575519619287854,0.2685605165451923,-1.324790028847891,-20.13149015188706,0.03218379523498124,1.7162450953374238e-05,23,0,5,0,32,64,4,0
