metaphor,mean_similarity,mean_baseline_savedBL,mean_baseline_mixedBL,mean_test_stat_savedBL,mean_test_stat_mixedBL,mean_p_value_savedBL,mean_p_value_mixedBL,amount_pos_sign_savedBL,amount_pos_sign_mixedBL,amount_pos_insign_savedBL,amount_pos_insign_mixedBL,amount_neg_sign_savedBL,amount_neg_sign_mixedBL,amount_neg_insign_savedBL,amount_neg_insign_mixedBL
5 success is life,-0.33222829018563527,-0.2523468626291188,-0.250708048626931,-3.491421395917252,-3.691216959016386,0.009113385369768669,0.009033148305520383,16,16,2,2,44,44,2,2
3 life is journey,-0.3244361492915476,-0.24031248644460532,-0.23967394053114655,-4.621777240305616,-4.750225010627814,0.01802150775328807,0.02081890077662452,14,14,2,2,47,47,1,1
7 affection is warmth,-0.3840030289979657,-0.2695568492015844,-0.26712289752045426,-7.998044464368598,-8.236893106455234,0.03589581450829453,0.030451615608861685,12,12,3,3,45,45,4,4
8 money is liquid,-0.4377991749831667,-0.28277257172146103,-0.2816837013956788,-13.707942015837816,-13.914406484584827,0.02903323490192338,0.027026608210771477,10,10,4,3,50,50,0,1
4 failure is death,-0.29675976406005394,-0.27298496447665715,-0.2719793639847735,0.1070134318912559,-0.05947313426974968,0.028122786662291153,0.03278311777082749,25,24,2,2,34,35,3,3
10 bad is down,-0.38950402505148324,-0.26098433459623893,-0.2607139961082785,-9.49983546352537,-9.578325736961716,0.0005805018626633025,0.0008488101168619819,14,14,0,0,50,50,0,0
9 good is up,-0.3749996736637626,-0.25593927036194086,-0.25550278386297853,-8.48956423572677,-8.58254473400951,0.048846335613431616,0.04456626679168545,10,10,4,3,49,49,1,2
6 perceiving is eating,-0.4075695271929036,-0.2780503910567135,-0.27531430195768475,-11.17982598657251,-11.509769779868993,0.05685837403943415,0.057864523989964056,15,15,3,2,42,42,4,5
1 importance is size,-0.3348766828283619,-0.27502514225179886,-0.2755118792636111,-3.7580648492773605,-3.7900411414454496,0.01836705612878262,0.020266908744450262,17,17,5,5,42,42,0,0
2 active is life,-0.30828856282545714,-0.21674198227834163,-0.2151442400260541,-3.5742832718621536,-3.7777810468244883,0.025759691993867694,0.027006310101626782,20,20,4,4,38,38,2,2
