metaphor_id,metaphor_name,pos,mean_similarity,baseline_performance,test_statistic,p_value
1,importance is size,all,-0.7428180943168697,-0.6351189048952797,-23.799906079959893,1.1495786825378426e-87
2,active is life,all,-0.6334578604014162,-0.5650717083142408,-15.179942726465784,5.166693759619572e-44
3,life is journey,all,-0.6943134550395053,-0.6265415568383569,-17.528734001361112,1.9749031028034203e-55
4,failure is death,all,-0.6773345504337924,-0.6235003624077481,-11.22591750413521,1.406004971360906e-26
5,success is life,all,-0.5791923422151485,-0.6187898787209888,8.919620174632598,6.214017989049815e-18
6,perceiving is eating,all,-0.7102025427229454,-0.6334245513447474,-20.423360654868457,4.000679071737949e-70
7,affection is warmth,all,-0.7572724596085786,-0.6489509866781246,-25.867024900273094,1.94654843543605e-98
8,money is liquid,all,-0.7429630603307229,-0.6343804515079408,-29.278956831039913,4.8009011342676166e-116
9,good is up,all,-0.6990095111871454,-0.6283475542496031,-16.466619762378294,3.3955359253864476e-50
10,bad is down,all,-0.7274833837893476,-0.6135604573895769,-25.875870208954964,1.7509429103019397e-98
1,importance is size,ADJ,-0.8041951927275659,-0.6320266187991049,-18.12679706249858,1.1033632972858953e-26
2,active is life,ADJ,-0.6156063593808265,-0.6610824340939626,3.0937349895101347,0.0029458588049958274
3,life is journey,ADJ,-0.6609301028255081,-0.6353739285657022,-1.860045478546714,0.06754869178826022
4,failure is death,ADJ,-0.7238864728156953,-0.6520401704854357,-4.555865437516946,2.4510027988111463e-05
5,success is life,ADJ,-0.6796745057076492,-0.5725287113429113,-6.587852318500071,1.0390608446948677e-08
6,perceiving is eating,ADJ,-0.8488271366289692,-0.6467073607386328,-22.683940241780842,5.172540461687316e-32
7,affection is warmth,ADJ,-0.8044338853845752,-0.6706277646221065,-9.956362199243284,1.485348919951253e-14
8,money is liquid,ADJ,-0.7699477690253607,-0.6129990172939532,-10.969075141102234,2.9965450479277396e-16
9,good is up,ADJ,-0.693688467519338,-0.6529089038783625,-2.99648507770057,0.003902960967997701
10,bad is down,ADJ,-0.8407932723386435,-0.6623419338600672,-16.40071986798802,2.03583845323052e-24
1,importance is size,VERB,-0.7212152502221725,-0.657592812650234,-4.204120614361919,8.433101112557743e-05
2,active is life,VERB,-0.6967412533957007,-0.5506652066122149,-9.201542141875846,2.905088892438146e-13
3,life is journey,VERB,-0.7586184333170002,-0.6490295147498631,-7.586678499183877,1.8864371923122964e-10
4,failure is death,VERB,-0.6227950737678085,-0.6346711685195094,0.7829104380976614,0.43661286474583083
5,success is life,VERB,-0.7937809023274094,-0.680539113633215,-8.513956609398813,4.520016789370792e-12
6,perceiving is eating,VERB,-0.7816856133445214,-0.6656822141774359,-8.841109316384012,1.2203260154932223e-12
7,affection is warmth,VERB,-0.8120436352067104,-0.6693035398287857,-12.87779678724901,2.6428770525945887e-19
8,money is liquid,VERB,-0.848438561263051,-0.6689677073463086,-18.34321197814984,5.873963508580851e-27
9,good is up,VERB,-0.7675962415981701,-0.6494388323674685,-9.708898373111188,3.9160284824864195e-14
10,bad is down,VERB,-0.7617894737879469,-0.6346306657466521,-8.30097763322236,1.0629333479287237e-11
1,importance is size,NOUN,-0.7773439275114318,-0.6725921020597593,-7.167174961379068,1.0211464649632488e-09
2,active is life,NOUN,-0.7814490355101027,-0.6160137446632777,-9.952141757778612,1.51003908339072e-14
3,life is journey,NOUN,-0.8188224484839622,-0.6689058382274528,-14.613152632145734,6.582292463613513e-22
4,failure is death,NOUN,-0.6620367135168177,-0.6487019682969491,-0.8990812217878331,0.37203303149492084
5,success is life,NOUN,-0.7393784855114797,-0.661161256095149,-5.428475584419701,9.683123841784448e-07
6,perceiving is eating,NOUN,-0.7786153274502441,-0.6703581156135328,-9.842171603546735,2.321673313974546e-14
7,affection is warmth,NOUN,-0.7951380602653488,-0.6723180796994163,-8.840536901969298,1.2231187979347647e-12
8,money is liquid,NOUN,-0.836709418966559,-0.6691162394311503,-19.45833511769392,2.4708417936770785e-28
9,good is up,NOUN,-0.802363740827946,-0.6667331181403565,-10.834377312442617,5.004195590469551e-16
10,bad is down,NOUN,-0.7540946140487681,-0.6554112588482139,-7.2485188174728235,7.362399674084577e-10
