metaphor_id,metaphor_name,pos,mean_similarity,baseline_performance,test_statistic,p_value
1,importance is size,all,-0.7474372348107432,-0.633790001914923,-27.996499533044332,1.2367546379847922e-117
2,active is life,all,-0.6312277597351978,-0.5598808925140145,-18.072210830364565,1.3648892329793628e-60
3,life is journey,all,-0.6932823294467164,-0.6244440828495676,-19.37432485121108,9.328691482523095e-68
4,failure is death,all,-0.674053293234183,-0.6208665325030551,-12.120621494073763,6.259364794334225e-31
5,success is life,all,-0.5754574830714648,-0.6161692425296362,10.39185611330926,1.1109929372489013e-23
6,perceiving is eating,all,-0.7098209708745655,-0.63455162446334,-22.729919308079825,7.5777374670093055e-87
7,affection is warmth,all,-0.749059757910404,-0.6463234149330572,-27.07838993851727,3.0001146110430724e-112
8,money is liquid,all,-0.7461174094353047,-0.6305694992040556,-35.85290913517901,5.63209933517878e-163
9,good is up,all,-0.703981472884867,-0.6306736652266606,-19.06200248236271,5.056197815860034e-66
10,bad is down,all,-0.7281222444572005,-0.6023351843269622,-33.24029772006076,4.0930774544581054e-148
1,importance is size,ADJ,-0.8024253462952733,-0.630771592292854,-21.169538456736678,1.5743222658384465e-34
2,active is life,ADJ,-0.6073601200485339,-0.6566460249731046,3.761563875544414,0.00032019487631962504
3,life is journey,ADJ,-0.6744182818853242,-0.6332103585503129,-3.4303999710865885,0.0009559311576010642
4,failure is death,ADJ,-0.7301983096084295,-0.6582332191964693,-5.488988923398345,4.6230875685726246e-07
5,success is life,ADJ,-0.6781772247440873,-0.5722625419478545,-7.419742091513664,1.0964676704272979e-10
6,perceiving is eating,ADJ,-0.8474488226349043,-0.6469789957278357,-25.366326687744376,5.261076510306437e-40
7,affection is warmth,ADJ,-0.7958368138655094,-0.6676780226096721,-10.7261053697972,3.7833691275936586e-17
8,money is liquid,ADJ,-0.7697150899749681,-0.6116507969901924,-13.059731077694494,1.5756990066217903e-21
9,good is up,ADJ,-0.716271090125295,-0.6547448212365601,-4.846694722987332,6.055257006520181e-06
10,bad is down,ADJ,-0.8362829912502371,-0.6572443900317153,-18.51214375823765,1.1904211376643695e-30
1,importance is size,VERB,-0.734334079553072,-0.6597827851682336,-5.575496005288648,3.2364438188587456e-07
2,active is life,VERB,-0.6924548334345932,-0.5449325987008435,-10.776777916240201,3.022043133914437e-17
3,life is journey,VERB,-0.7370765636666765,-0.6478598513489832,-6.806360344584787,1.6671195528137361e-09
4,failure is death,VERB,-0.6091645241875029,-0.6281876281931786,1.4452919580803816,0.15228182247617228
5,success is life,VERB,-0.7841439216556466,-0.6761535868305516,-8.85041016544446,1.728616808052353e-13
6,perceiving is eating,VERB,-0.7903876451617087,-0.665573042975945,-10.0298452028381,8.454439246866032e-16
7,affection is warmth,VERB,-0.806768368542435,-0.6630689923532099,-15.311037765558876,1.713018606103802e-25
8,money is liquid,VERB,-0.8586430425435235,-0.6590085901836682,-22.033852810455407,1.0182945848274898e-35
9,good is up,VERB,-0.7634267847377099,-0.6523215334757806,-10.618281058090451,6.106754517408844e-17
10,bad is down,VERB,-0.781459746246949,-0.6034699171379294,-12.812512132853966,4.45945863633734e-21
1,importance is size,NOUN,-0.7701534514089325,-0.6640605414549693,-8.170821180525936,3.740771106515741e-12
2,active is life,NOUN,-0.7899551617158813,-0.6069396222370889,-13.330391974809272,5.087036388532118e-22
3,life is journey,NOUN,-0.8105580510439917,-0.6600180363361566,-15.99862574119661,1.1988317686684136e-26
4,failure is death,NOUN,-0.6419900822778308,-0.6401991848737987,-0.12544917288864943,0.9004826817294325
5,success is life,NOUN,-0.7322439768957373,-0.6575406892540799,-6.045935591928912,4.4929083397700486e-08
6,perceiving is eating,NOUN,-0.770110423130389,-0.6681156418297217,-10.04247927070043,7.988709155133913e-16
7,affection is warmth,NOUN,-0.7794472122522068,-0.6717013739577073,-8.146749451225617,4.170434091843787e-12
8,money is liquid,NOUN,-0.8445300031565821,-0.6667438981956141,-23.885866981623625,3.711717511518208e-38
9,good is up,NOUN,-0.8014920609727447,-0.6661679497304582,-12.642230005648228,9.168535312118074e-21
10,bad is down,NOUN,-0.7551439931735516,-0.6538548494117636,-8.899053923579073,1.3870140018576519e-13
