metaphor_id,metaphor_name,pos,mean_similarity,baseline_performance,test_statistic,p_value
1,importance is size,all,0.3198672364879813,0.36839165266250884,-10.593743920452779,4.464397029744468e-24
2,active is life,all,0.38653057196643203,0.4107258436614419,-4.902054686291475,1.2354588036846163e-06
3,life is journey,all,0.29079185444991,0.37609553559660497,-20.95430660085618,7.262369448742148e-73
4,failure is death,all,0.3468128470121883,0.36732377235608293,-4.719302767214158,2.9753689958251933e-06
5,success is life,all,0.34444572749877506,0.37921711056098456,-7.716457266073097,5.31561314651094e-14
6,perceiving is eating,all,0.27781617020567256,0.3753385825668303,-28.230978048122477,1.1365918957773662e-110
7,affection is warmth,all,0.29245382300319356,0.3678895621971625,-16.137650298291394,1.3479641603214989e-48
8,money is liquid,all,0.24071565019241664,0.37780036534661166,-33.38437305956693,1.0831345468598136e-136
9,good is up,all,0.2808128915558983,0.3732161885416675,-22.404721195712803,2.1508643010459907e-80
10,bad is down,all,0.30562106495360947,0.3799683174605064,-17.149871635994344,1.4965419955686765e-53
1,importance is size,ADJ,0.28581257769837976,0.3808800174286844,-8.67694817777712,2.352455043699909e-12
2,active is life,ADJ,0.3728140997700393,0.36312603178675873,0.6349757359219966,0.5277437164422144
3,life is journey,ADJ,0.33271329873241484,0.3939117961944879,-4.576424845107655,2.2771548604151178e-05
4,failure is death,ADJ,0.33324387506581843,0.3578933475168698,-1.9125320843499505,0.06035655850713565
5,success is life,ADJ,0.37270254036411643,0.41672965460448114,-3.4636799004315657,0.0009635830790655409
6,perceiving is eating,ADJ,0.3093414776958525,0.36499106254021935,-6.611230933397277,9.466204630031349e-09
7,affection is warmth,ADJ,0.3647815252188593,0.35846774055748915,0.4570984080633147,0.6491726326642605
8,money is liquid,ADJ,0.25147516338620335,0.3977364373779637,-9.391807624264375,1.3668743553218635e-13
9,good is up,ADJ,0.3164837777148932,0.38476832542319844,-5.290145088150826,1.6375625253183824e-06
10,bad is down,ADJ,0.3110285298898816,0.3752931813540988,-6.035159001003941,9.248670234687064e-08
1,importance is size,VERB,0.43938508175779134,0.36384956014719283,5.010116321125428,4.677850157488755e-06
2,active is life,VERB,0.4644022136926651,0.48950476660292525,-2.779204366710052,0.0071738803928391055
3,life is journey,VERB,0.3894942086189985,0.3621952814655403,2.096453045469027,0.04006362992329793
4,failure is death,VERB,0.4431823892518878,0.3760437377411497,7.246081426123266,7.434944668599416e-10
5,success is life,VERB,0.44358727894723415,0.35367923192927997,7.742386650700786,1.0072660698683261e-10
6,perceiving is eating,VERB,0.3900191537104547,0.38746313783443836,0.29009331348065837,0.7726975563118644
7,affection is warmth,VERB,0.34954310092143714,0.3684070652529523,-1.7925496941202617,0.0778461922374773
8,money is liquid,VERB,0.34215080202557147,0.3755930273516109,-4.034019770280649,0.0001507284931548994
9,good is up,VERB,0.41088380571454763,0.3615260040789447,5.20909946890376,2.223303210364081e-06
10,bad is down,VERB,0.47601952217519283,0.39672344340799587,7.7420582965591676,1.008599735911227e-10
1,importance is size,NOUN,0.3829600524622947,0.36044538041164925,1.5889199987428473,0.11708486559305328
2,active is life,NOUN,0.4530428268481046,0.37954673259464167,5.0126480680705345,4.634087223337095e-06
3,life is journey,NOUN,0.3214891387615353,0.3721795291297867,-4.993872056038138,4.96844034694651e-06
4,failure is death,NOUN,0.42339183832518756,0.3680342318102294,4.24526633782367,7.315350135616883e-05
5,success is life,NOUN,0.40027884021401405,0.36724244514919246,2.28683659395952,0.02557642035443746
6,perceiving is eating,NOUN,0.30636270297691226,0.3735615473258331,-7.28081468208962,6.46529024544385e-10
7,affection is warmth,NOUN,0.3407683070981875,0.37679388078104603,-2.2267515603983545,0.029546679863688776
8,money is liquid,NOUN,0.2642714763060212,0.3600716313102603,-15.159265476843384,1.0800051675100264e-22
9,good is up,NOUN,0.26346872211433947,0.37335423612285923,-8.825712263669521,1.2977253117209282e-12
10,bad is down,NOUN,0.31179823412094265,0.3678883276194247,-4.321010214283232,5.6211651247723895e-05
