metaphor_id,metaphor_name,pos,mean_similarity,baseline_performance,test_statistic,p_value
1,importance is size,all,-0.49821488838642836,-0.30351182816219,-28.751282731704546,2.4149355975319137e-113
2,active is life,all,-0.3256174206940664,-0.18304742363095283,-16.307589193640485,2.0194730626694486e-49
3,life is journey,all,-0.4770317576411698,-0.2613184630928768,-25.488644001237407,1.8106624456832643e-96
4,failure is death,all,-0.48681085784402156,-0.33275038040677707,-19.408330471879115,6.455968357382121e-65
5,success is life,all,-0.48860092854334247,-0.27820630554228815,-25.385148767007124,6.260753204817142e-96
6,perceiving is eating,all,-0.6739809339245161,-0.32432530784524155,-60.34018142909221,6.3251722617036986e-251
7,affection is warmth,all,-0.4788570947324236,-0.3167920958395633,-19.539717101050545,1.3760441662202359e-65
8,money is liquid,all,-0.589818124141958,-0.33709083619641345,-40.48222728504911,1.8347408336319893e-170
9,good is up,all,-0.4575814118401872,-0.2566757925264537,-28.82273945319419,1.0387668629004692e-113
10,bad is down,all,-0.4594420184277826,-0.2689919547519337,-26.5945180534063,3.243888954269637e-102
1,importance is size,ADJ,-0.5983856897801161,-0.364922170560807,-13.083676233841986,1.2718191022510649e-19
2,active is life,ADJ,-0.6062765661627054,-0.34074611068765326,-10.432250728384755,2.3409588493720477e-15
3,life is journey,ADJ,-0.5412805462256074,-0.2832391641245534,-7.331792574048777,5.266072275053515e-10
4,failure is death,ADJ,-0.5634744018316269,-0.3772832169346511,-7.511456022805129,2.55425767570207e-10
5,success is life,ADJ,-0.5347907971590757,-0.18560933091289675,-10.768057183942522,6.446358312899072e-16
6,perceiving is eating,ADJ,-0.7594140991568565,-0.4162256952039897,-18.294599215092944,6.764522924534629e-27
7,affection is warmth,ADJ,-0.548876010812819,-0.37577998818953834,-6.317608532520688,3.0392198275310294e-08
8,money is liquid,ADJ,-0.6342555060982704,-0.29751534680215025,-11.963233038609433,7.2673392496605e-18
9,good is up,ADJ,-0.5558242946863174,-0.28752294810240464,-10.572738818121335,1.3628135202818822e-15
10,bad is down,ADJ,-0.6764152180403471,-0.36192234438036885,-15.215300049479728,8.990915560802359e-23
1,importance is size,VERB,-0.4642802160233259,-0.34767096759627264,-4.288281422422086,6.300530332187421e-05
2,active is life,VERB,-0.608086260035634,-0.0794813464715456,-19.197614368917783,5.122438794817346e-28
3,life is journey,VERB,-0.4729992002248764,-0.34683443254480756,-5.149229365930255,2.783927194265226e-06
4,failure is death,VERB,-0.5921379793435335,-0.3825325632194678,-10.115445725360093,7.989049834823066e-15
5,success is life,VERB,-0.5348248984664679,-0.44160736729328837,-4.495982420890893,3.0342754688151956e-05
6,perceiving is eating,VERB,-0.7454016916453838,-0.34866126568987965,-24.12897781941952,1.569754174276072e-33
7,affection is warmth,VERB,-0.7198250126093626,-0.41280648968865474,-17.159891342652013,1.9666155800299136e-25
8,money is liquid,VERB,-0.7829224038869143,-0.40937309767802554,-25.188986132677915,1.3437566372269774e-34
9,good is up,VERB,-0.6519497968256474,-0.3847219625487924,-14.259876508665215,2.1621053206999855e-21
10,bad is down,VERB,-0.538518313318491,-0.26299392271662747,-10.976211807737656,2.916390579806499e-16
1,importance is size,NOUN,-0.6553562376648188,-0.397738374752303,-11.52298287734598,3.718212064433531e-17
2,active is life,NOUN,-0.5073385993018746,-0.3444941401320199,-6.6237561092203405,9.005094250990863e-09
3,life is journey,NOUN,-0.6042384933680296,-0.34393012860789896,-10.826892538060612,5.149152991515513e-16
4,failure is death,NOUN,-0.5075153801590204,-0.364081675119698,-5.644565868819398,4.2271724479168704e-07
5,success is life,NOUN,-0.49218872375786304,-0.3268610927090049,-6.491395543642996,1.5253522145770253e-08
6,perceiving is eating,NOUN,-0.7918199747800827,-0.35147085799401007,-29.44116955383684,1.5506454307036233e-38
7,affection is warmth,NOUN,-0.5366704128682613,-0.3366346288944284,-6.822531675941363,4.069984840842875e-09
8,money is liquid,NOUN,-0.7695155255496502,-0.40848507696886854,-31.303113759181336,4.153646418131978e-40
9,good is up,NOUN,-0.6784583181142807,-0.2966429404305915,-17.126730127253563,2.174927516767141e-25
10,bad is down,NOUN,-0.6810722351074219,-0.38074877611796065,-14.109320511192376,3.606539094716857e-21
