metaphor_id,metaphor_name,pos,mean_similarity,baseline_performance,test_statistic,p_value
1,importance is size,all,-0.499739126658734,-0.3069474653138055,-30.74204808135126,1.1236876119325944e-133
2,active is life,all,-0.308330472195917,-0.1602460934225424,-19.080316744707083,4.003096105951273e-66
3,life is journey,all,-0.4549967096339201,-0.24314169179087064,-27.656290820951963,1.222223670960091e-115
4,failure is death,all,-0.47399899661949796,-0.3231350538715904,-20.364900824150077,2.595555020379802e-73
5,success is life,all,-0.4753564961653187,-0.2762083958817393,-27.56120614932532,4.413943060186663e-115
6,perceiving is eating,all,-0.6637860773685701,-0.3242609565699542,-62.803150273566565,4.132495692100971e-296
7,affection is warmth,all,-0.46702241807644584,-0.32127832772518383,-19.963871268768067,4.71046038406295e-71
8,money is liquid,all,-0.597896329659984,-0.32856152790913606,-49.72557342837401,2.7325476045808383e-236
9,good is up,all,-0.4582370231835113,-0.26022749210323814,-33.15199675985729,1.3150422759223846e-147
10,bad is down,all,-0.45779095281462284,-0.25132896716763947,-31.222754450777135,1.811549090287905e-136
1,importance is size,ADJ,-0.5806554070225468,-0.3511085497626552,-14.430448033869727,5.638736949520873e-24
2,active is life,ADJ,-0.5877069337868396,-0.32161568758112413,-11.697113309970353,5.313679491240446e-19
3,life is journey,ADJ,-0.5188588316057935,-0.2857846587029872,-7.4524362836068425,9.473210150390984e-11
4,failure is death,ADJ,-0.5745998841744883,-0.39900045078992846,-8.138912871593465,4.320677726713213e-12
5,success is life,ADJ,-0.5397026950930371,-0.19551705494481658,-12.644904618308408,9.065089322092547e-21
6,perceiving is eating,ADJ,-0.7350743258440936,-0.4124567944098402,-17.517602715806667,4.1603733946188424e-29
7,affection is warmth,ADJ,-0.5480702622437182,-0.3900337403714657,-6.734684670526027,2.2839883488712426e-09
8,money is liquid,ADJ,-0.6469073634088776,-0.2903912819099647,-14.868549193410788,9.792483779203789e-25
9,good is up,ADJ,-0.579323458082882,-0.28695347936617005,-12.983823952087466,2.167022184697826e-21
10,bad is down,ADJ,-0.680019486097642,-0.36412503894059745,-18.044869545430092,6.228600896085793e-30
1,importance is size,VERB,-0.49872373210059273,-0.3765599738061428,-4.79873957284867,7.294417571164595e-06
2,active is life,VERB,-0.589811353035915,-0.05629594186196724,-22.475690143184615,2.5872588027243655e-36
3,life is journey,VERB,-0.43062082484916403,-0.32798305325927557,-4.454468218585556,2.7018749583690235e-05
4,failure is death,VERB,-0.5685683797906946,-0.36172057354670983,-11.348734854596742,2.4300485161329308e-18
5,success is life,VERB,-0.5180855915870195,-0.4349984037931318,-4.662846421262801,1.2302417954213172e-05
6,perceiving is eating,VERB,-0.7473082836763358,-0.3413742924873476,-27.1121299157254,4.433544555163242e-42
7,affection is warmth,VERB,-0.6955223039344505,-0.3994342772419806,-18.042483595753517,6.281877836661484e-30
8,money is liquid,VERB,-0.8053590132866377,-0.4062955699474723,-29.131411399118367,2.3868344986392744e-44
9,good is up,VERB,-0.6292186769438378,-0.3836777415385953,-14.445897153647831,5.298966641621576e-24
10,bad is down,VERB,-0.5297007972811475,-0.19912685915606995,-14.698673699934194,1.925044111270192e-24
1,importance is size,NOUN,-0.6281632140830711,-0.38043172348759796,-12.02370696713287,1.2922814108705328e-19
2,active is life,NOUN,-0.48726606001088646,-0.31420374059787504,-8.143677437812268,4.2286993013508505e-12
3,life is journey,NOUN,-0.5796099268359902,-0.3131258049375481,-11.850832445719094,2.7275740678599964e-19
4,failure is death,NOUN,-0.4574304907410233,-0.33515500013475064,-4.950567136657854,4.033583266951975e-06
5,success is life,NOUN,-0.4549458085754771,-0.3099633352502628,-6.325828287814033,1.3537411678402949e-08
6,perceiving is eating,NOUN,-0.7835082271952688,-0.3558184908429781,-31.358851415605184,1.0512148629791411e-46
7,affection is warmth,NOUN,-0.513016019338443,-0.35276848984537296,-6.0806839414156695,3.8747912139010755e-08
8,money is liquid,NOUN,-0.7761538617404891,-0.3887109547489219,-35.729316365642106,6.132485556955922e-51
9,good is up,NOUN,-0.6796126939632274,-0.30183014838011174,-19.7603959280034,1.624176899198679e-32
10,bad is down,NOUN,-0.6963915015444343,-0.3943789862659242,-16.94761218379107,3.368239752358896e-28
