metaphor_id,metaphor_name,pos,mean_similarity,baseline_performance,test_statistic,p_value
1,importance is size,all,-0.4482557808773385,-0.29667738595480714,-22.95544896758049,2.9104415389250905e-83
2,active is life,all,-0.3670653677028086,-0.16966912434860648,-21.684939471510514,1.1878353455155356e-76
3,life is journey,all,-0.434510156719221,-0.25735933810865713,-21.21611390775447,3.2065314802614588e-74
4,failure is death,all,-0.4762573332215349,-0.3192455165506237,-18.935989237420735,1.6426832877991728e-62
5,success is life,all,-0.5178121972001262,-0.26876187348790054,-29.321212771960447,2.9200589437756393e-116
6,perceiving is eating,all,-0.6377857389549414,-0.3057151047049297,-53.34956392268628,7.776717546800792e-225
7,affection is warmth,all,-0.48710351147585446,-0.30151971493661406,-21.930698774778218,6.283147063745432e-78
8,money is liquid,all,-0.5799172870400879,-0.32244468365733825,-40.031039976369186,2.141261800141251e-168
9,good is up,all,-0.4261164781120088,-0.24041573289657633,-27.057542550193432,1.293908927445878e-104
10,bad is down,all,-0.4821420878999763,-0.27211993117257954,-28.63869370100536,9.131256386296531e-113
1,importance is size,ADJ,-0.6302551403641701,-0.34981348187724753,-15.376238947554143,5.32185816811939e-23
2,active is life,ADJ,-0.5850986316800117,-0.334132963416477,-10.09738497784132,8.570750017665141e-15
3,life is journey,ADJ,-0.5303041785955429,-0.27825437271595,-7.1288406942074385,1.1912508958268573e-09
4,failure is death,ADJ,-0.572694817557931,-0.36200157468765976,-7.863833356146297,6.174756333027756e-11
5,success is life,ADJ,-0.6124726990237832,-0.19219878929744785,-12.300948839215788,2.1113952959570898e-18
6,perceiving is eating,ADJ,-0.7405968736857176,-0.39868505945305033,-16.66791794972331,8.874273215978715e-25
7,affection is warmth,ADJ,-0.5530366133898497,-0.3744467137729128,-6.573280494677746,1.1011648725379695e-08
8,money is liquid,ADJ,-0.5987621787935495,-0.2806154486089945,-11.170152407422908,1.3990216704978897e-16
9,good is up,ADJ,-0.5393730830401182,-0.2819113726255794,-10.12470580006672,7.706381039719255e-15
10,bad is down,ADJ,-0.6573755890130997,-0.3472981938011945,-15.25352703092548,7.9356614952249e-23
1,importance is size,VERB,-0.4295596228912473,-0.33889493260780973,-3.353167487080713,0.0013556920938180065
2,active is life,VERB,-0.5602049455046654,-0.06463356275856495,-18.209960516525353,8.65453781074161e-27
3,life is journey,VERB,-0.4595606867223978,-0.3453842529207468,-4.617742605790073,1.9633471770046033e-05
4,failure is death,VERB,-0.5183606967329979,-0.3665558670473596,-6.936994278693719,2.573100354738616e-09
5,success is life,VERB,-0.5299466624855995,-0.42732504225646456,-4.902492855073621,6.964133597589388e-06
6,perceiving is eating,VERB,-0.6853812541812658,-0.33374525323013465,-19.00233364369944,8.884875533813584e-28
7,affection is warmth,VERB,-0.7104439083486795,-0.39545269421488044,-17.851405078598162,2.4795182801466287e-26
8,money is liquid,VERB,-0.7602676376700401,-0.40858942380299174,-23.215947027873973,1.4001076147129208e-32
9,good is up,VERB,-0.6189786046743393,-0.3775602859606345,-13.68080762872795,1.5719709558251952e-20
10,bad is down,VERB,-0.5698094926774502,-0.26205894522430995,-12.116344830542115,4.1422491540901575e-18
1,importance is size,NOUN,-0.5994621533900499,-0.39058481488004326,-9.769107600812523,3.091627180411537e-14
2,active is life,NOUN,-0.5149952098727226,-0.3383393851108849,-7.093361449190034,1.373762844251427e-09
3,life is journey,NOUN,-0.6029901541769505,-0.3240397464086612,-11.283140547856496,9.137733106759148e-17
4,failure is death,NOUN,-0.49398319609463215,-0.36268501151104765,-5.032144146500416,4.31026843237834e-06
5,success is life,NOUN,-0.534252505749464,-0.31656434263413147,-8.377923288477445,7.802766896848737e-12
6,perceiving is eating,NOUN,-0.7326901517808437,-0.33434956800192595,-23.51392328393732,6.804150943620531e-33
7,affection is warmth,NOUN,-0.5521757900714874,-0.31921466827268397,-7.773807552651259,8.874745585206269e-11
8,money is liquid,NOUN,-0.8185690697282553,-0.38791942519570394,-33.979019719431435,3.146626342206505e-42
9,good is up,NOUN,-0.6332245096564293,-0.2681598714428643,-16.19654132577012,3.861875182889913e-24
10,bad is down,NOUN,-0.6500675044953823,-0.3921664105902115,-11.95693707017811,7.437748195016315e-18
