metaphor_id,metaphor_name,pos,mean_similarity,baseline_performance,test_statistic,p_value
1,importance is size,all,-0.45057060084061695,-0.28921911699168473,-26.53098275387282,4.882980938178915e-109
2,active is life,all,-0.3487510693416674,-0.14670957111576455,-24.980468860146324,5.962744126176857e-100
3,life is journey,all,-0.41333603327493446,-0.23883871612339105,-23.136845698552133,3.327540580005301e-89
4,failure is death,all,-0.4642045900164318,-0.3132403360888546,-19.543802420856018,1.059662339023728e-68
5,success is life,all,-0.5054363332821672,-0.26897024478639164,-31.840434151638213,4.776002020052749e-140
6,perceiving is eating,all,-0.6277185411937279,-0.30586754882188494,-55.92419990758404,9.949730536061623e-266
7,affection is warmth,all,-0.47524654996084414,-0.30656919452621617,-22.64502730786533,2.3468402143988254e-86
8,money is liquid,all,-0.5903043194235761,-0.32019897636237704,-48.40118588440526,9.817739989033995e-230
9,good is up,all,-0.427388792829422,-0.23820389545957246,-32.14433177676163,8.363076975875376e-142
10,bad is down,all,-0.47797106633624586,-0.2526931560297071,-33.35766437906829,8.684440807086022e-149
1,importance is size,ADJ,-0.6138308725239318,-0.34417284134471854,-16.98113800770516,2.975056003133863e-28
2,active is life,ADJ,-0.5658039840651147,-0.31467563631357975,-11.26272754526868,3.5432429549766085e-18
3,life is journey,ADJ,-0.5102931518613556,-0.279903902689064,-7.399746804175859,1.1989741126136915e-10
4,failure is death,ADJ,-0.5844077887358489,-0.37972408979358496,-8.836757960669559,1.8388059060277566e-13
5,success is life,ADJ,-0.6176635490523444,-0.19428817624847097,-14.76357709504382,1.4862717710680847e-24
6,perceiving is eating,ADJ,-0.7156886156694389,-0.3996063324279255,-15.953068939856589,1.4271702464523635e-26
7,affection is warmth,ADJ,-0.5513852231296492,-0.39008731869415,-6.94328901115381,9.117226844912868e-10
8,money is liquid,ADJ,-0.616685668627421,-0.2870937990377898,-13.447616813527008,3.1261070474035684e-22
9,good is up,ADJ,-0.5637361120294642,-0.2741479213315028,-12.893389906796399,3.1704924528533486e-21
10,bad is down,ADJ,-0.6527001548696447,-0.33934227982936077,-17.890579402868386,1.0819471326490486e-29
1,importance is size,VERB,-0.4613323984322725,-0.3533311909404066,-4.31581400332075,4.513162981860611e-05
2,active is life,VERB,-0.540722534980303,-0.04624287066719047,-20.829108227299717,4.730431383054222e-34
3,life is journey,VERB,-0.4174640075660046,-0.327746435492127,-3.9079778121407123,0.00019370538548566844
4,failure is death,VERB,-0.4945804410510593,-0.3524501577306677,-7.4040849908607935,1.1759532967487177e-10
5,success is life,VERB,-0.5132748874617211,-0.4324721741091322,-4.479433116372168,2.4612425395994022e-05
6,perceiving is eating,VERB,-0.6853106433962598,-0.3241322543080206,-21.11371432451394,1.8839762567996042e-34
7,affection is warmth,VERB,-0.6889833447373943,-0.38082973796791497,-19.231383342553475,9.80532320963951e-32
8,money is liquid,VERB,-0.7830459659482226,-0.40625006151309717,-26.80863381042162,9.989838004939217e-42
9,good is up,VERB,-0.5993139773239324,-0.37256597498611166,-14.146935265194106,1.7734691974601017e-23
10,bad is down,VERB,-0.5633271064287351,-0.19915570506895028,-16.053465543796218,9.722181495995414e-27
1,importance is size,NOUN,-0.5734533880963738,-0.3779424095087581,-10.012274972402471,9.147750630618247e-16
2,active is life,NOUN,-0.49682076772054035,-0.3153246426229124,-8.484596651540148,9.053002690139767e-13
3,life is journey,NOUN,-0.5784086062584395,-0.2952863634813715,-12.048373861348226,1.1619301464513583e-19
4,failure is death,NOUN,-0.44540516241097156,-0.3386469320676945,-4.228063546148402,6.216337609711701e-05
5,success is life,NOUN,-0.49811800762459085,-0.3119682508298644,-8.01147457674081,7.679977528850686e-12
6,perceiving is eating,NOUN,-0.7260685158364567,-0.3429382853960549,-24.803493391588965,2.59283588650453e-39
7,affection is warmth,NOUN,-0.5294230764294848,-0.3311594219307105,-7.345020546467505,1.530940551296305e-10
8,money is liquid,NOUN,-0.827883670359482,-0.3779791624071421,-39.627836970567394,2.3985713306271856e-54
9,good is up,NOUN,-0.6349645176051576,-0.27382674513591654,-18.775300095956833,4.741692547894979e-31
10,bad is down,NOUN,-0.6624329796543827,-0.4018410286075539,-14.492248419134334,4.3983643790151326e-24
