metaphor_id,metaphor_name,pos,mean_similarity,baseline_performance,test_statistic,p_value
1,importance is size,all,-0.6433494070291244,-0.7191916641196715,17.147775463067518,1.5326837251348627e-53
2,active is life,all,-0.6113084420537758,-0.7058470728562752,20.164863177126335,8.566380959030405e-69
3,life is journey,all,-0.635367930157497,-0.7096375008241963,16.668691698949928,3.493131294473169e-51
4,failure is death,all,-0.6419251199015884,-0.7116061639559728,13.485053577255838,3.303338506131056e-36
5,success is life,all,-0.6371268878567755,-0.7082710763178887,14.74707929364093,5.5805640248993166e-42
6,perceiving is eating,all,-0.6430177044614628,-0.7236002360839868,15.824170965689094,4.385573335760967e-47
7,affection is warmth,all,-0.6875433503428076,-0.7032752876021662,3.5131960553282675,0.0004775498915842542
8,money is liquid,all,-0.552545778132263,-0.6993546375650835,36.42650532263428,1.731618584750104e-151
9,good is up,all,-0.6869593207282366,-0.7033983304753144,3.522240523917511,0.00046188317460721173
10,bad is down,all,-0.6738486014363925,-0.699595148114908,5.0887872049731095,4.887702309037379e-07
1,importance is size,ADJ,-0.6228464788864758,-0.7163296710268994,5.319099711155281,1.4675427282965682e-06
2,active is life,ADJ,-0.713461842231343,-0.750359938579942,2.4694585822796764,0.016254001939491138
3,life is journey,ADJ,-0.7117816392569781,-0.7123121691247511,0.035221137086946665,0.9720147683461244
4,failure is death,ADJ,-0.6615646883512472,-0.7220395419733563,4.3668590003792485,4.787655179791219e-05
5,success is life,ADJ,-0.7807166314523956,-0.6967354873810371,-6.1067789961008225,6.981565521107117e-08
6,perceiving is eating,ADJ,-0.6972872592327638,-0.7583570768035892,3.5287687495124476,0.0007857853711705372
7,affection is warmth,ADJ,-0.6979180821592654,-0.7443676223898759,2.890959127916905,0.005263791938908139
8,money is liquid,ADJ,-0.5929598453776398,-0.7164898356341716,9.25084601375827,2.3888993694986317e-13
9,good is up,ADJ,-0.7482778966281328,-0.7460864615831913,-0.16300939618748042,0.8710328028505075
10,bad is down,ADJ,-0.8374043057037689,-0.7401042180286955,-8.948707985709737,7.943545345993805e-13
1,importance is size,VERB,-0.7365697076467413,-0.7538134216833612,1.1253779386884872,0.26469802427659933
2,active is life,VERB,-0.572822165510916,-0.6965700654904924,6.67755301403967,7.2656405816921975e-09
3,life is journey,VERB,-0.8148660336943634,-0.7311216912810005,-5.9505382898274135,1.2881398603090324e-07
4,failure is death,VERB,-0.612048848901817,-0.731146213990739,6.19065526278904,5.018170978277487e-08
5,success is life,VERB,-0.7313664050832758,-0.7525592448439254,1.3331022221861015,0.18729906927803783
6,perceiving is eating,VERB,-0.7196934789664797,-0.750763853183533,2.409791576842978,0.01889443907578013
7,affection is warmth,VERB,-0.8101811023318597,-0.6998819499352401,-10.426288882506206,2.395436397351857e-15
8,money is liquid,VERB,-0.7491199511170421,-0.7447535022470315,-0.4112752618186192,0.6822664487046752
9,good is up,VERB,-0.7748037491325983,-0.7250445706356995,-2.852076849663811,0.005867418818687638
10,bad is down,VERB,-0.6638231654130244,-0.7024489606318379,2.098243093467075,0.039899534784028565
1,importance is size,NOUN,-0.8150079549579566,-0.7532836751128102,-4.6991077197049105,1.4638067570262299e-05
2,active is life,NOUN,-0.7406674275526568,-0.7206289907345236,-1.3192996180591543,0.19184386942625073
3,life is journey,NOUN,-0.6641572453004809,-0.7522220400442844,5.730826117696959,3.028747560289984e-07
4,failure is death,NOUN,-0.6842258535747143,-0.7436750512545192,3.629613005615835,0.0005705161730826758
5,success is life,NOUN,-0.7599064982205874,-0.7306746211115758,-1.7861513687189106,0.07888696008310608
6,perceiving is eating,NOUN,-0.7397295607552532,-0.724875572013296,-1.0276356160127407,0.30805072253277194
7,affection is warmth,NOUN,-0.7561455197192714,-0.7368292594923116,-1.2385620216712503,0.22010291508609595
8,money is liquid,NOUN,-0.7970301467649858,-0.720055011069063,-6.4178006603668685,2.0432549244578845e-08
9,good is up,NOUN,-0.8172745312007796,-0.7361557109115936,-6.034558535953447,9.270472866622119e-08
10,bad is down,NOUN,-0.78849079568061,-0.736043769653057,-3.5622744105817965,0.0007068830733256312
