metaphor_id,metaphor_name,pos,mean_similarity,baseline_performance,test_statistic,p_value
1,importance is size,all,-0.6459656431376887,-0.7266608061736858,21.276534772532585,1.7225668495369661e-78
2,active is life,all,-0.6114453306252827,-0.7108852271663435,24.552014539113646,1.9079915904087887e-97
3,life is journey,all,-0.6284542886275487,-0.7158808488398088,22.573379206361214,6.0896651963476584e-86
4,failure is death,all,-0.6388279107875626,-0.721314380145629,18.175828316601184,3.727304426038657e-61
5,success is life,all,-0.6335483758616696,-0.7071353873816327,17.764891678721316,6.306565789769436e-59
6,perceiving is eating,all,-0.6442532853798536,-0.7284320679251007,17.81944589463833,3.1994985049720176e-59
7,affection is warmth,all,-0.6766227110582447,-0.7077056994444118,7.536930712869821,1.4324214398583178e-13
8,money is liquid,all,-0.5457882881929706,-0.7017067322194203,44.8504121019945,1.0904852901827952e-211
9,good is up,all,-0.677835954414217,-0.7109103471507804,7.419846521315659,3.275671993838556e-13
10,bad is down,all,-0.676285234333285,-0.7040640995519765,6.209099475071127,8.950816842912887e-10
1,importance is size,ADJ,-0.631792578465572,-0.7251220143952958,6.299162023419485,1.5187219058980697e-08
2,active is life,ADJ,-0.7087696958523246,-0.7564752139466232,3.5194172283023613,0.0007167596545655522
3,life is journey,ADJ,-0.706229362756685,-0.7209101492464274,1.158582780561739,0.250073147360073
4,failure is death,ADJ,-0.655265033148703,-0.7414729616162846,7.342200904712613,1.550329394559508e-10
5,success is life,ADJ,-0.7668107847654589,-0.6944487915480296,-5.8527871176758826,1.017597752465028e-07
6,perceiving is eating,ADJ,-0.714547363545119,-0.7630894584696633,2.96400610756014,0.003999362189364108
7,affection is warmth,ADJ,-0.6795970859742679,-0.7503826508408771,4.67431163602436,1.177505288017918e-05
8,money is liquid,ADJ,-0.5898031826906005,-0.7161010746528751,11.397306949675547,1.9645066744568166e-18
9,good is up,ADJ,-0.7413737802536896,-0.7479314806988328,0.5480807024993428,0.5851626212263122
10,bad is down,ADJ,-0.8283085988647922,-0.7461006143665931,-8.551144574905189,6.698884977640888e-13
1,importance is size,VERB,-0.7411959138666893,-0.7554446381705655,1.1123763968113904,0.269307895759954
2,active is life,VERB,-0.576766602095128,-0.7016997483584514,8.148232483858774,4.142593722884309e-12
3,life is journey,VERB,-0.8045584977074485,-0.7324058405702768,-6.028875338524952,4.8310626563144304e-08
4,failure is death,VERB,-0.6136714726750623,-0.7373791612640314,7.333482172292809,1.6118417964246701e-10
5,success is life,VERB,-0.7377724467379764,-0.7575776976165007,1.473225628825266,0.14461406506493474
6,perceiving is eating,VERB,-0.7139742989220588,-0.7619233815162708,4.191621807252884,7.092887733652507e-05
7,affection is warmth,VERB,-0.8185228432377675,-0.7047426085226274,-11.476789955442246,1.387805024733442e-18
8,money is liquid,VERB,-0.7446135356406761,-0.7465974502195188,0.2144113002432037,0.8307719157098493
9,good is up,VERB,-0.7381583041245089,-0.7348096513867257,-0.1871154756714858,0.8520438300605724
10,bad is down,VERB,-0.6616673252357717,-0.7076926394558352,2.9618729973917794,0.004024375663217459
1,importance is size,NOUN,-0.8094065777961078,-0.7590540893826212,-4.337189917205027,4.172292300141052e-05
2,active is life,NOUN,-0.7377170776123209,-0.7276265031099499,-0.7872140311723401,0.43348262521656533
3,life is journey,NOUN,-0.6492934903428799,-0.7548432123162242,7.883862905417301,1.3651614489737691e-11
4,failure is death,NOUN,-0.668429294045411,-0.7495447614268547,5.730565579906874,1.6988777506657626e-07
5,success is life,NOUN,-0.7537327712716655,-0.7326915501658834,-1.5006965245297677,0.13737065278448038
6,perceiving is eating,NOUN,-0.7336519657196111,-0.7276836043418435,-0.4567568045612782,0.6490836446513111
7,affection is warmth,NOUN,-0.7267945848494533,-0.7450603673315709,1.1184787642705647,0.266709892425649
8,money is liquid,NOUN,-0.7944314260420025,-0.7275781798739097,-6.30107768012624,1.5062342551845803e-08
9,good is up,NOUN,-0.8251458941084657,-0.74358117165452,-6.993910195721247,7.289254130299367e-10
10,bad is down,NOUN,-0.7988944592144672,-0.7379784681759308,-4.808241375218483,7.030724948808792e-06
