metaphor_id,metaphor_name,pos,mean_similarity,baseline_performance,test_statistic,p_value
1,importance is size,all,-0.4605631299306663,-0.3642309599853592,-15.723559772276031,3.530161148514058e-48
2,active is life,all,-0.3694472850104909,-0.3203468983552337,-7.63769784755887,6.969515667615181e-14
3,life is journey,all,-0.3265646707537406,-0.26982846011515754,-8.00615352106496,4.681399517125813e-15
4,failure is death,all,-0.305832025118489,-0.3431797581958918,5.58771816457576,3.252568279631101e-08
5,success is life,all,-0.45018748041697165,-0.3518456618110707,-14.687110078393012,5.8024196286368164e-43
6,perceiving is eating,all,-0.4415537613573061,-0.355689110978886,-12.713297150292235,1.3880135801260882e-33
7,affection is warmth,all,-0.5940599522472899,-0.34632155340468446,-31.53063135446379,2.970057607500847e-138
8,money is liquid,all,-0.5338535684944017,-0.39685351394576796,-26.788407416874,1.5081698639417777e-110
9,good is up,all,-0.49346462918243617,-0.32699853885983243,-24.21504310656174,1.7703853750521173e-95
10,bad is down,all,-0.5467015753394128,-0.351846815129857,-29.99531750756784,2.5112091893315582e-129
1,importance is size,ADJ,-0.3797022494269006,-0.39954556287438775,0.9188353118663769,0.36094381838831613
2,active is life,ADJ,-0.31477950899689283,-0.3644832304009684,2.032397773866108,0.04543151127125179
3,life is journey,ADJ,-0.3246626853942871,-0.22302651255605396,-3.481154301909073,0.0008116493623256718
4,failure is death,ADJ,-0.4767024443473345,-0.42646058439766915,-2.2805678194571906,0.025235042581402578
5,success is life,ADJ,-0.40665176915533746,-0.3065067716185694,-3.9162245719816013,0.0001882361823574954
6,perceiving is eating,ADJ,-0.42718257580274416,-0.4246667062573962,-0.10599280876079094,0.9158533863723697
7,affection is warmth,ADJ,-0.5627107914583183,-0.4221255766042957,-6.349746970456042,1.2209194504320288e-08
8,money is liquid,ADJ,-0.625016196274463,-0.4311510677392836,-12.114788711072828,8.729553178307347e-20
9,good is up,ADJ,-0.6207750682477597,-0.35510285434789124,-14.468032405274256,4.847773218114384e-24
10,bad is down,ADJ,-0.699950110765151,-0.40025168631694935,-15.340625023170501,1.5258888701094107e-25
1,importance is size,VERB,-0.5875635161811923,-0.4191065617435509,-9.843287930578274,1.95396157770326e-15
2,active is life,VERB,-0.6729104180394867,-0.3424294753005659,-15.384172153626361,1.2872653372973983e-25
3,life is journey,VERB,-0.612098115461844,-0.4056494594966924,-9.943976085089062,1.2429251561101369e-15
4,failure is death,VERB,-0.4972113253157816,-0.40306426738478524,-4.441134365671529,2.839578176070527e-05
5,success is life,VERB,-0.6171521537097884,-0.4409030769864718,-8.835394877787753,1.8501861727935467e-13
6,perceiving is eating,VERB,-0.7597019804848565,-0.42254370680120257,-23.343106965487404,1.8585367742650021e-37
7,affection is warmth,VERB,-0.7047120008939578,-0.34131554985929413,-21.874423377147032,1.6776411364128188e-35
8,money is liquid,VERB,-0.6712173826900529,-0.46940620624356805,-14.213299857731181,1.3550053288695888e-23
9,good is up,VERB,-0.5381923207530269,-0.4346281251631401,-4.2066681025169785,6.717419183138825e-05
10,bad is down,VERB,-0.5384962934034841,-0.45838563472584437,-3.232852865111034,0.001781310286096619
1,importance is size,NOUN,-0.5627901745431217,-0.4171596843754804,-6.870609216993194,1.2563965464039047e-09
2,active is life,NOUN,-0.649059784265212,-0.3964714633667911,-12.971194148933614,2.2851689853105348e-21
3,life is journey,NOUN,-0.555003230954394,-0.39134525700299827,-7.658669945846563,3.75880870945067e-11
4,failure is death,NOUN,-0.4081943049842929,-0.35030721669616527,-2.503055468729236,0.01434886848690553
5,success is life,NOUN,-0.5834458080338843,-0.3975328223672178,-8.549423641708195,6.75126334299857e-13
6,perceiving is eating,NOUN,-0.5853591377352491,-0.4002898771895303,-10.6309125006968,5.773390295811707e-17
7,affection is warmth,NOUN,-0.5537742847277795,-0.38750517795483275,-5.798277553306594,1.2795424196104976e-07
8,money is liquid,NOUN,-0.7429361696596499,-0.4366073687054493,-20.795606571388983,5.274902554355081e-34
9,good is up,NOUN,-0.5707970798751454,-0.37632526306421665,-9.565465036841236,6.8260572425793764e-15
10,bad is down,NOUN,-0.6521240649399934,-0.4266932835225706,-12.08455687497553,9.942513809222491e-20
