metaphor_id,metaphor_name,pos,mean_similarity,baseline_performance,test_statistic,p_value
1,importance is size,all,-0.4094055550586846,-0.3704195678908792,-5.62519011223586,2.8957888216379322e-08
2,active is life,all,-0.3582620394105713,-0.3106024295930854,-6.33542069468928,4.780003015471104e-10
3,life is journey,all,-0.3863146711761753,-0.2818841451327834,-12.868538049960984,1.7535433776274268e-33
4,failure is death,all,-0.3303979649725888,-0.35797220841050154,3.5454588492584302,0.0004238381940913848
5,success is life,all,-0.46155170258134604,-0.3565455963795798,-13.39849470831024,8.045209967525302e-36
6,perceiving is eating,all,-0.40438575990911985,-0.35235488552393185,-6.9316565170983315,1.1203590071082309e-11
7,affection is warmth,all,-0.540092032816675,-0.33575855393624965,-23.6361319279098,8.217968782706412e-87
8,money is liquid,all,-0.5234371605846617,-0.40868255932380754,-18.64770153936504,4.7558131486274904e-61
9,good is up,all,-0.4271001713350415,-0.3346804210560189,-12.523866344380961,5.461390165943134e-32
10,bad is down,all,-0.49838966069122154,-0.3451797738046282,-20.89159651648026,1.5322576234087395e-72
1,importance is size,ADJ,-0.3400727156549692,-0.4061108908640842,2.5315875390203098,0.013861949998678007
2,active is life,ADJ,-0.32176043279469013,-0.37720054810121656,1.9824843157733945,0.05179007445768983
3,life is journey,ADJ,-0.3720504231750965,-0.23323798473303517,-4.404757630447158,4.1903966389376795e-05
4,failure is death,ADJ,-0.49030680023133755,-0.43114832151929533,-2.1830673129370375,0.0327646669566103
5,success is life,ADJ,-0.4166551297530532,-0.3062371689012895,-3.599380884107908,0.0006283106298510461
6,perceiving is eating,ADJ,-0.40558074228465557,-0.4359718784540892,1.1959962295995439,0.2361800915426341
7,affection is warmth,ADJ,-0.5188093241304159,-0.40200529086341463,-4.721398023450469,1.3501807412343573e-05
8,money is liquid,ADJ,-0.7153600007295609,-0.44697793843348826,-13.932673926018655,6.598056552338088e-21
9,good is up,ADJ,-0.6183713991194963,-0.37686451702937485,-11.381443840660374,6.315749805307618e-17
10,bad is down,ADJ,-0.6905977558344603,-0.4047187478753428,-13.098502337896004,1.2068157736503033e-19
1,importance is size,VERB,-0.5411812588572502,-0.42763871559128164,-5.474009123226301,8.13783004254852e-07
2,active is life,VERB,-0.6716972924768925,-0.32278511806918925,-14.497537484479368,9.697326510395844e-22
3,life is journey,VERB,-0.636988578364253,-0.41682341096426045,-9.178036564787789,3.1892744780985745e-13
4,failure is death,VERB,-0.5754750892519951,-0.4436760208333532,-5.6279748873162365,4.5063943463932186e-07
5,success is life,VERB,-0.6002252399921417,-0.4638637024015188,-5.766310363329633,2.639579613880963e-07
6,perceiving is eating,VERB,-0.7186460997909307,-0.41061079681167995,-19.36386210626362,3.215319956772617e-28
7,affection is warmth,VERB,-0.6812825594097376,-0.35311942852785194,-17.91956109307936,2.0276708108522776e-26
8,money is liquid,VERB,-0.5754084084182978,-0.48729601094747577,-5.202149820223937,2.2822042046880736e-06
9,good is up,VERB,-0.6046305075287819,-0.46532657245794934,-5.472629216948044,8.180873179964457e-07
10,bad is down,VERB,-0.5141391567885876,-0.4339563882028063,-3.0295645718478,0.0035489203931204365
1,importance is size,NOUN,-0.589005010202527,-0.42657949055482947,-6.912817802175057,2.834954752314293e-09
2,active is life,NOUN,-0.6460946369916201,-0.3942598646829526,-10.701911944094155,8.30262209961014e-16
3,life is journey,NOUN,-0.5196593403816223,-0.4008698578476906,-4.900666359290184,7.0111281660307985e-06
4,failure is death,NOUN,-0.4229915626347065,-0.3648738748989999,-2.2595857366486096,0.027314507317933747
5,success is life,NOUN,-0.5909287836402655,-0.3985643708209196,-7.499431553668339,2.681033850978679e-10
6,perceiving is eating,NOUN,-0.5435764789581299,-0.39908842511723436,-6.720777684455911,6.1137293563510695e-09
7,affection is warmth,NOUN,-0.5469920914620161,-0.3858815704869727,-5.135354831320259,2.9324760623142794e-06
8,money is liquid,NOUN,-0.7044952288269997,-0.4553914581798017,-13.12093469258655,1.114784069739552e-19
9,good is up,NOUN,-0.48350861482322216,-0.36470287948722635,-4.87976756566299,7.571438082231199e-06
10,bad is down,NOUN,-0.6612715851515532,-0.44089541056255493,-9.40659708956489,1.2892227093946284e-13
