metaphor_id,metaphor_name,pos,mean_similarity,baseline_performance,test_statistic,p_value
1,importance is size,all,-0.4123265711368357,-0.3549551420355285,-9.605793192013339,1.1909411964632443e-20
2,active is life,all,-0.35826127224988896,-0.30067683172566284,-8.828479351660732,7.831321631750386e-18
3,life is journey,all,-0.3661169346794997,-0.26508689458024354,-14.021689889306776,1.0280232526184131e-39
4,failure is death,all,-0.31981400305351604,-0.33996174546229985,2.982001184641266,0.0029592920630837297
5,success is life,all,-0.4509918368402332,-0.33670073743146145,-17.01292617814235,6.681687883675614e-55
6,perceiving is eating,all,-0.3909798585011308,-0.35046766283225134,-5.931215645201066,4.6461567858898954e-09
7,affection is warmth,all,-0.5384041250814954,-0.33772513489701134,-26.11749710997618,1.3001444431779725e-106
8,money is liquid,all,-0.520671109930805,-0.38356509295694624,-25.80403017300483,8.951811824764044e-105
9,good is up,all,-0.41607375449113887,-0.32366859484270766,-13.776952835404973,1.5327175803891703e-38
10,bad is down,all,-0.5032619129973674,-0.34134808768791913,-25.09818739930535,1.2205874539826823e-100
1,importance is size,ADJ,-0.33890202310350204,-0.39476478512750734,2.591288108082834,0.01136130913585576
2,active is life,ADJ,-0.3043872287243973,-0.35458512806119746,2.0558715764108326,0.04305633586072683
3,life is journey,ADJ,-0.3406431594012696,-0.2241825328612769,-4.088544686273723,0.0001026536830227694
4,failure is death,ADJ,-0.47255017580809416,-0.4188192226864674,-2.3368353616903854,0.021949773681744427
5,success is life,ADJ,-0.39395194509882986,-0.29431773242023257,-3.800180486803121,0.000280750952473342
6,perceiving is eating,ADJ,-0.37665177863321186,-0.4301096250094749,2.3663686070785244,0.020381942998548747
7,affection is warmth,ADJ,-0.5138367723535608,-0.41439145352332685,-4.540066521672466,1.960094686785565e-05
8,money is liquid,ADJ,-0.7157749894224568,-0.4147969415596238,-17.5011744596396,4.4163792508208274e-29
9,good is up,ADJ,-0.6197640115832105,-0.3588602787190014,-14.015431692187958,3.0278942233496635e-23
10,bad is down,ADJ,-0.6773573778293751,-0.3919479057247992,-15.23699995383919,2.289237387586276e-25
1,importance is size,VERB,-0.5460423952267494,-0.4119465231939598,-7.6284754721490575,4.304435855216579e-11
2,active is life,VERB,-0.6862532400790556,-0.3237541480268593,-16.836411624910003,5.089139768209629e-28
3,life is journey,VERB,-0.6112754550980933,-0.39093938162591724,-10.411708135534637,1.5320028797091493e-16
4,failure is death,VERB,-0.5655579831865098,-0.4225776723501859,-6.714803386993337,2.4920607648746633e-09
5,success is life,VERB,-0.6002803761282085,-0.4417105041543643,-7.894848235056594,1.2992493749770569e-11
6,perceiving is eating,VERB,-0.7226203282674154,-0.42045642906868896,-20.226641116288636,3.4188466300045086e-33
7,affection is warmth,VERB,-0.7027333135958072,-0.3334699194365078,-21.790681383360948,2.1829505550644732e-35
8,money is liquid,VERB,-0.5816051930557062,-0.47271557488927135,-7.634329481516246,4.192815574997565e-11
9,good is up,VERB,-0.5546728181250301,-0.44980822746842,-4.1929281870502715,7.059502459004473e-05
10,bad is down,VERB,-0.5151030119554496,-0.4427259902369093,-3.1701340616944673,0.002159872197525406
1,importance is size,NOUN,-0.5922012682314273,-0.4027761099371645,-9.12998024919886,4.878979317836038e-14
2,active is life,NOUN,-0.6402147287203942,-0.3820557412571377,-13.189622983958632,9.148629148850016e-22
3,life is journey,NOUN,-0.49752028930334397,-0.3760599080478704,-5.725282468773847,1.7367818314960693e-07
4,failure is death,NOUN,-0.39668501012119245,-0.3405203064459342,-2.520346324780808,0.01371299419517967
5,success is life,NOUN,-0.5772585294864796,-0.3842679383920299,-8.830157228671197,1.8945741897799356e-13
6,perceiving is eating,NOUN,-0.5248579611012965,-0.38645731209163314,-6.9847535635039195,7.590533462665162e-10
7,affection is warmth,NOUN,-0.5219159405908467,-0.3927535066880562,-4.559366620431211,1.8224706562533352e-05
8,money is liquid,NOUN,-0.7038482736658167,-0.4273234374114761,-16.669317757158566,9.489488207228158e-28
9,good is up,NOUN,-0.4898402867493806,-0.366303156842788,-5.905343544512599,8.153692615981371e-08
10,bad is down,NOUN,-0.6734263749770176,-0.41948938291381904,-12.901543001866301,3.0634452409129596e-21
