metaphor_id,metaphor_name,pos,mean_similarity,baseline_performance,test_statistic,p_value
1,importance is size,all,-0.7428180943168697,-0.6408902880151668,-22.524516943398353,5.116079587795941e-81
2,active is life,all,-0.6334578604014162,-0.5714405701032299,-13.76622146508542,1.7970920909621016e-37
3,life is journey,all,-0.6943134550395053,-0.6317370146598271,-16.184964672404945,7.951604567603885e-49
4,failure is death,all,-0.6773345504337924,-0.6312958379044937,-9.600345204435305,2.422768862984632e-20
5,success is life,all,-0.5791923422151485,-0.6256745295419337,10.470435598434124,1.3388785360413612e-23
6,perceiving is eating,all,-0.7102025427229454,-0.639810509242636,-18.724661340986426,1.938830412903574e-61
7,affection is warmth,all,-0.7572724596085786,-0.653205211523869,-24.851121616841155,3.7900355427652883e-93
8,money is liquid,all,-0.7429630603307229,-0.6428318388134158,-27.000066990740887,2.567152382970361e-104
9,good is up,all,-0.6990095111871454,-0.632898168880731,-15.406173037386907,4.371227276640379e-45
10,bad is down,all,-0.7274833837893476,-0.6208216414587012,-24.22660203727314,6.838078084639033e-90
1,importance is size,ADJ,-0.8041951927275659,-0.6394209702146156,-17.348281538675653,1.1126531465285137e-25
2,active is life,ADJ,-0.6156063593808265,-0.6693636368061161,3.657104777853257,0.0005223904790249587
3,life is journey,ADJ,-0.6609301028255081,-0.6410986719555279,-1.443383620248427,0.15386671863368365
4,failure is death,ADJ,-0.7238864728156953,-0.6590500603553935,-4.111359402501555,0.00011591781975594457
5,success is life,ADJ,-0.6796745057076492,-0.5769611184188947,-6.315326052721937,3.066795961284793e-08
6,perceiving is eating,ADJ,-0.8488271366289692,-0.6534911137335213,-21.922598374696324,3.502186897050186e-31
7,affection is warmth,ADJ,-0.8044338853845752,-0.6765874175897375,-9.512911158368532,8.471498427622775e-14
8,money is liquid,ADJ,-0.7699477690253607,-0.6210918563862093,-10.403470387139462,2.6160065634799253e-15
9,good is up,ADJ,-0.693688467519338,-0.6604612154750307,-2.441540713881484,0.017445112079999603
10,bad is down,ADJ,-0.8407932723386435,-0.6673604501125286,-15.939488924520225,8.708877751749504e-24
1,importance is size,VERB,-0.7212152502221725,-0.662126732392667,-3.9045227652309045,0.00023266120375082088
2,active is life,VERB,-0.6967412533957007,-0.5566067411621572,-8.827276259463652,1.289643507395e-12
3,life is journey,VERB,-0.7586184333170002,-0.6544344971714089,-7.212499572498999,8.510202379704649e-10
4,failure is death,VERB,-0.6227950737678085,-0.6429401722560274,1.3280298122135727,0.188959715951458
5,success is life,VERB,-0.7937809023274094,-0.6890155183538511,-7.8766676471934725,5.863589840950008e-11
6,perceiving is eating,VERB,-0.7816856133445214,-0.6743805321771199,-8.178173739874651,1.7416373701850788e-11
7,affection is warmth,VERB,-0.8120436352067104,-0.675233931982485,-12.342765723819808,1.81355937001224e-18
8,money is liquid,VERB,-0.848438561263051,-0.6750213335241874,-17.724487846660384,3.6113195955012443e-26
9,good is up,VERB,-0.7675962415981701,-0.65342628403198,-9.381252707634152,1.42515162537041e-13
10,bad is down,VERB,-0.7617894737879469,-0.6407606185520301,-7.9008118726749075,5.320108018884934e-11
1,importance is size,NOUN,-0.7773439275114318,-0.6799697192600483,-6.662394514407802,7.718793887242865e-09
2,active is life,NOUN,-0.7814490355101027,-0.6222529933491425,-9.576805352432958,6.58495165300534e-14
3,life is journey,NOUN,-0.8188224484839622,-0.675306958265209,-13.989202130807891,5.436025061849102e-21
4,failure is death,NOUN,-0.6620367135168177,-0.6558135455518491,-0.4195905782285362,0.676211988575687
5,success is life,NOUN,-0.7393784855114797,-0.6678630614579981,-4.963353167591116,5.56300485524255e-06
6,perceiving is eating,NOUN,-0.7786153274502441,-0.6773062765269472,-9.210481659951764,2.8038120311157346e-13
7,affection is warmth,NOUN,-0.7951380602653488,-0.6791998243604275,-8.345191459434071,8.899155085316796e-12
8,money is liquid,NOUN,-0.836709418966559,-0.6758650935194451,-18.674762272578736,2.2583136045279176e-27
9,good is up,NOUN,-0.802363740827946,-0.6736554010465907,-10.281414984441188,4.194282924651485e-15
10,bad is down,NOUN,-0.7540946140487681,-0.6626789511567469,-6.7146901454445755,6.2642346367667375e-09
