metaphor_id,metaphor_name,pos,mean_similarity,baseline_performance,test_statistic,p_value
1,importance is size,all,-0.7474372348107432,-0.6416377445573788,-26.063242403709978,2.7049062612790626e-106
2,active is life,all,-0.6312277597351978,-0.5684283185311443,-15.907141906460236,4.032695594297969e-49
3,life is journey,all,-0.6932823294467164,-0.6298633687329604,-17.849082557041676,2.2122452587575803e-59
4,failure is death,all,-0.674053293234183,-0.6314945401912648,-9.698626684574032,5.33672632349556e-21
5,success is life,all,-0.5754574830714648,-0.6261317371096841,12.934826782799712,1.3487667238076132e-34
6,perceiving is eating,all,-0.7098209708745655,-0.6413698177805379,-20.67095385513038,4.810864209789811e-75
7,affection is warmth,all,-0.749059757910404,-0.6521459733333392,-25.543728471762602,3.0020463735405484e-103
8,money is liquid,all,-0.7461174094353047,-0.6418848177047144,-32.341923214033244,6.049638163575415e-143
9,good is up,all,-0.703981472884867,-0.6367429895807323,-17.48381484315525,2.053883664617417e-57
10,bad is down,all,-0.7281222444572005,-0.611337209526735,-30.861436194764615,2.272571994774693e-134
1,importance is size,ADJ,-0.8024253462952733,-0.6398053242788152,-20.055435605936434,6.041631191709884e-33
2,active is life,ADJ,-0.6073601200485339,-0.6683798389007866,4.657103698953928,1.257512537944235e-05
3,life is journey,ADJ,-0.6744182818853242,-0.64423493429732,-2.512646751242981,0.013992948676970408
4,failure is death,ADJ,-0.7301983096084295,-0.6678856516401339,-4.752769536139426,8.712383128378028e-06
5,success is life,ADJ,-0.6781772247440873,-0.5812856002976751,-6.787641196105718,1.8101201936063176e-09
6,perceiving is eating,ADJ,-0.8474488226349043,-0.6533821554449748,-24.55610679717675,5.273517442822265e-39
7,affection is warmth,ADJ,-0.7958368138655094,-0.6756561611592794,-10.058384069530714,7.438813817780456e-16
8,money is liquid,ADJ,-0.7697150899749681,-0.6215657416068,-12.240529549645387,5.0868080325130646e-20
9,good is up,ADJ,-0.716271090125295,-0.6643792497286148,-4.087748429398737,0.00010294519378117951
10,bad is down,ADJ,-0.8362829912502371,-0.6666685086211014,-17.537713456984008,3.8672710847471144e-29
1,importance is size,VERB,-0.734334079553072,-0.6673072948990494,-5.012757634451577,3.1566199121309896e-06
2,active is life,VERB,-0.6924548334345932,-0.5559920418931353,-9.9688646997972,1.1115211826643329e-15
3,life is journey,VERB,-0.7370765636666765,-0.6539349028739271,-6.34289348152165,1.2576001846554881e-08
4,failure is death,VERB,-0.6091645241875029,-0.641026606351939,2.4207411737966797,0.017753846795770106
5,success is life,VERB,-0.7841439216556466,-0.6865080965067673,-8.001800353788648,8.02252786323309e-12
6,perceiving is eating,VERB,-0.7903876451617087,-0.6779738301401687,-9.033343403590356,7.553854980669041e-14
7,affection is warmth,VERB,-0.806768368542435,-0.6690101840191341,-14.6780092000792,2.090537995718074e-24
8,money is liquid,VERB,-0.8586430425435235,-0.6695590128244415,-20.869392183509824,4.1502890559491825e-34
9,good is up,VERB,-0.7634267847377099,-0.6580731124069384,-10.068605134358915,7.105632378091024e-16
10,bad is down,VERB,-0.781459746246949,-0.6124712630966153,-12.164554578846548,7.048108311961366e-20
1,importance is size,NOUN,-0.7701534514089325,-0.6766068305511069,-7.204559771274304,2.8628730618556e-10
2,active is life,NOUN,-0.7899551617158813,-0.6147522860788499,-12.761337173918104,5.536038257056206e-21
3,life is journey,NOUN,-0.8105580510439917,-0.666972281242624,-15.259564025365629,2.095463440221457e-25
4,failure is death,NOUN,-0.6419900822778308,-0.6496351552762205,0.5355237447784656,0.5937734149518136
5,success is life,NOUN,-0.7322439768957373,-0.6674033138151153,-5.2477271763980164,1.2348820274733916e-06
6,perceiving is eating,NOUN,-0.770110423130389,-0.6786335121717334,-9.006882218237548,8.514576889837131e-14
7,affection is warmth,NOUN,-0.7794472122522068,-0.6832380440390856,-7.274452551947257,2.0972249207986586e-10
8,money is liquid,NOUN,-0.8445300031565821,-0.6780063478412635,-22.372737627772967,3.5540534089012456e-36
9,good is up,NOUN,-0.8014920609727447,-0.676818574866859,-11.647228808579642,6.600988953115427e-19
10,bad is down,NOUN,-0.7551439931735516,-0.6623827228961042,-8.14981266067448,4.113133827051369e-12
