metaphor_id,metaphor_name,pos,mean_similarity,baseline_performance,test_statistic,p_value
1,importance is size,all,-0.499739126658734,-0.29925939947845015,-31.967966712449286,8.73994162420684e-141
2,active is life,all,-0.308330472195917,-0.1620069589191289,-18.85343345223561,7.188471693102197e-65
3,life is journey,all,-0.4549967096339201,-0.24053174863185414,-27.997001877819113,1.2283966046534111e-117
4,failure is death,all,-0.47399899661949796,-0.32156569405323193,-20.57674638827988,1.6446713404771188e-74
5,success is life,all,-0.4753564961653187,-0.27420903245654005,-27.837909102810038,1.0522083027003374e-116
6,perceiving is eating,all,-0.6637860773685701,-0.3279745151521983,-62.11624034141842,3.5256865097248313e-293
7,affection is warmth,all,-0.46702241807644584,-0.3140661021735933,-20.95179429279088,1.2221024851909287e-76
8,money is liquid,all,-0.597896329659984,-0.3239391673463914,-50.57897049433434,1.830597170070602e-240
9,good is up,all,-0.4582370231835113,-0.25344354294810767,-34.28780804723793,4.1765187489534016e-154
10,bad is down,all,-0.45779095281462284,-0.24613446963090957,-32.00830594383406,5.108804089725946e-141
1,importance is size,ADJ,-0.5806554070225468,-0.35287587341997356,-14.319345348777913,8.824132143984163e-24
2,active is life,ADJ,-0.5877069337868396,-0.322189483228657,-11.671889809379243,5.929520489539585e-19
3,life is journey,ADJ,-0.5188588316057935,-0.2819067438736006,-7.576430773512462,5.436392573540963e-11
4,failure is death,ADJ,-0.5745998841744883,-0.39561334182929114,-8.295903040558581,2.1255121603969126e-12
5,success is life,ADJ,-0.5397026950930371,-0.1937769756158469,-12.708832727376633,6.913438557101588e-21
6,perceiving is eating,ADJ,-0.7350743258440936,-0.41750496158114186,-17.243495519720014,1.1317111258157824e-28
7,affection is warmth,ADJ,-0.5480702622437182,-0.38783089140057564,-6.828558498043754,1.5120094871800888e-09
8,money is liquid,ADJ,-0.6469073634088776,-0.2903217890712398,-14.87144740121905,9.680516909336977e-25
9,good is up,ADJ,-0.579323458082882,-0.27874057658734147,-13.348549784349617,4.716962932740444e-22
10,bad is down,ADJ,-0.680019486097642,-0.3525747766781736,-18.704656311600523,6.06597406937136e-31
1,importance is size,VERB,-0.49872373210059273,-0.3678091479749591,-5.142482551924285,1.884554331529881e-06
2,active is life,VERB,-0.589811353035915,-0.05571540446068954,-22.50014675394856,2.399678003362979e-36
3,life is journey,VERB,-0.43062082484916403,-0.32564481010701923,-4.55594771923829,1.8461467437001054e-05
4,failure is death,VERB,-0.5685683797906946,-0.35394296642696416,-11.775454395925134,3.7814775011820147e-19
5,success is life,VERB,-0.5180855915870195,-0.43732415752388804,-4.532325305454942,2.0180831086188933e-05
6,perceiving is eating,VERB,-0.7473082836763358,-0.3375009010544529,-27.37083180820675,2.2311086968584286e-42
7,affection is warmth,VERB,-0.6955223039344505,-0.3893997470008002,-18.653949885998458,7.241639545232755e-31
8,money is liquid,VERB,-0.8053590132866377,-0.39880289875578,-29.678372266135195,6.103951848642089e-45
9,good is up,VERB,-0.6292186769438378,-0.3766456804143058,-14.859614042084358,1.0145961532833482e-24
10,bad is down,VERB,-0.5297007972811475,-0.19532290736944588,-14.86781300474144,9.821132401694315e-25
1,importance is size,NOUN,-0.6281632140830711,-0.3801240055638331,-12.038642129937527,1.2116987767811135e-19
2,active is life,NOUN,-0.48726606001088646,-0.31284517735132467,-8.207606436893633,3.1679977064382146e-12
3,life is journey,NOUN,-0.5796099268359902,-0.30891855808319874,-12.037933189934071,1.2154070447207767e-19
4,failure is death,NOUN,-0.4574304907410233,-0.3293741230434841,-5.184617476649818,1.5918585408637349e-06
5,success is life,NOUN,-0.4549458085754771,-0.3061463317595146,-6.4923705470448985,6.580801285332941e-09
6,perceiving is eating,NOUN,-0.7835082271952688,-0.35753920653131277,-31.232685966653328,1.4167998804494056e-46
7,affection is warmth,NOUN,-0.513016019338443,-0.343688839201574,-6.425216465805073,8.807731479583163e-09
8,money is liquid,NOUN,-0.7761538617404891,-0.38411630169219446,-36.153027342644855,2.5213729324629212e-51
9,good is up,NOUN,-0.6796126939632274,-0.29810104323978776,-19.955451509293468,8.437639666240289e-33
10,bad is down,NOUN,-0.6963915015444343,-0.3906851032144494,-17.1548966314271,1.5670187813869375e-28
