metaphor_id,metaphor_name,pos,mean_similarity,baseline_performance,test_statistic,p_value
1,importance is size,all,-0.4482557808773385,-0.28278169139143494,-25.05985116541087,3.096867056568168e-94
2,active is life,all,-0.3670653677028086,-0.16349481730701193,-22.363217194533092,3.537046040694131e-80
3,life is journey,all,-0.434510156719221,-0.2527969480016165,-21.762519444922074,4.698015176708294e-77
4,failure is death,all,-0.4762573332215349,-0.31887758397931854,-18.98036275884132,9.77494741634077e-63
5,success is life,all,-0.5178121972001262,-0.2679323769326632,-29.418871127216494,9.259539014349387e-117
6,perceiving is eating,all,-0.6377857389549414,-0.3083820278545221,-52.92110331108353,3.667029465908838e-223
7,affection is warmth,all,-0.48710351147585446,-0.3012263821578688,-21.965362322627726,4.149713525185089e-78
8,money is liquid,all,-0.5799172870400879,-0.3227715679650298,-39.98021702038503,3.666113097477947e-168
9,good is up,all,-0.4261164781120088,-0.23617448992199366,-27.675513211093843,8.276300726113998e-108
10,bad is down,all,-0.4821420878999763,-0.26352230133799215,-29.811069469467576,9.264590733963357e-119
1,importance is size,ADJ,-0.6302551403641701,-0.3463463002331555,-15.566339853823811,2.876427026073574e-23
2,active is life,ADJ,-0.5850986316800117,-0.32598677526786923,-10.425139759631023,2.4060825920130576e-15
3,life is journey,ADJ,-0.5303041785955429,-0.2759563433180252,-7.1938369175976575,9.173465471538842e-10
4,failure is death,ADJ,-0.572694817557931,-0.3585481783275803,-7.992726590302403,3.673980011369192e-11
5,success is life,ADJ,-0.6124726990237832,-0.18976935677711543,-12.372055620886806,1.6305482796434987e-18
6,perceiving is eating,ADJ,-0.7405968736857176,-0.4038244770094752,-16.41737559764897,1.932666261737901e-24
7,affection is warmth,ADJ,-0.5530366133898497,-0.3732302581990759,-6.6180540440962465,9.212176042479417e-09
8,money is liquid,ADJ,-0.5987621787935495,-0.2818398482576013,-11.127163656054636,1.645796081923335e-16
9,good is up,ADJ,-0.5393730830401182,-0.27693108220025897,-10.320556186029242,3.604448452850178e-15
10,bad is down,ADJ,-0.6573755890130997,-0.34116368865345914,-15.555299561065528,2.9807035814601684e-23
1,importance is size,VERB,-0.4295596228912473,-0.32220069110890226,-3.970591840934555,0.0001866051488188062
2,active is life,VERB,-0.5602049455046654,-0.06472711525360744,-18.206522894216523,8.741726221426327e-27
3,life is journey,VERB,-0.4595606867223978,-0.3405515950483581,-4.813194236336741,9.664444242190008e-06
4,failure is death,VERB,-0.5183606967329979,-0.3633512347961465,-7.083435703765756,1.4296418152395124e-09
5,success is life,VERB,-0.5299466624855995,-0.42685624668747185,-4.924888398257849,6.412393262361335e-06
6,perceiving is eating,VERB,-0.6853812541812658,-0.32795430297901235,-19.31527534616518,3.6830246318534603e-28
7,affection is warmth,VERB,-0.7104439083486795,-0.393787405602634,-17.945781493736398,1.8769176926570708e-26
8,money is liquid,VERB,-0.7602676376700401,-0.4051581230883797,-23.442463463882873,8.084252306804966e-33
9,good is up,VERB,-0.6189786046743393,-0.36969129875426493,-14.126731122756294,3.3988275797849076e-21
10,bad is down,VERB,-0.5698094926774502,-0.2568631267845631,-12.320907676697404,1.963533820861812e-18
1,importance is size,NOUN,-0.5994621533900499,-0.38408001960814,-10.073334212400814,9.412122137803384e-15
2,active is life,NOUN,-0.5149952098727226,-0.33661736564710737,-7.162506672652563,1.0404906703431994e-09
3,life is journey,NOUN,-0.6029901541769505,-0.32415972806264953,-11.278287463482304,9.306163214531155e-17
4,failure is death,NOUN,-0.49398319609463215,-0.35792284047479433,-5.214659473583712,2.1772580829999957e-06
5,success is life,NOUN,-0.534252505749464,-0.31272842046370114,-8.525552177547583,4.3146413029749484e-12
6,perceiving is eating,NOUN,-0.7326901517808437,-0.3327836878572901,-23.606356711743018,5.447583529036938e-33
7,affection is warmth,NOUN,-0.5521757900714874,-0.31300655907392505,-7.980969356321984,3.852122916075471e-11
8,money is liquid,NOUN,-0.8185690697282553,-0.3869891135059297,-34.05242295952088,2.7657003869706102e-42
9,good is up,NOUN,-0.6332245096564293,-0.26748751256490744,-16.226371353695768,3.51592312102617e-24
10,bad is down,NOUN,-0.6500675044953823,-0.38331191014622645,-12.367453764750652,1.6580168250623524e-18
