metaphor_id,metaphor_name,pos,mean_similarity,baseline_performance,test_statistic,p_value
1,importance is size,all,-0.45057060084061695,-0.2893710052812541,-26.506007801706573,6.842220593652594e-109
2,active is life,all,-0.3487510693416674,-0.1471228648438866,-24.92936910491731,1.1868705463906535e-99
3,life is journey,all,-0.41333603327493446,-0.24051431140671542,-22.914676153734263,6.456826966934761e-88
4,failure is death,all,-0.4642045900164318,-0.313960063489131,-19.450626654130293,3.5062059408666367e-68
5,success is life,all,-0.5054363332821672,-0.2682272953599875,-31.94047315697678,1.2602868256039652e-140
6,perceiving is eating,all,-0.6277185411937279,-0.3134222525972643,-54.61150933278295,1.1586732004987412e-259
7,affection is warmth,all,-0.47524654996084414,-0.30409722001427486,-22.976891239351694,2.815512485902732e-88
8,money is liquid,all,-0.5903043194235761,-0.31636405280149643,-49.088380169490584,3.790486946306757e-233
9,good is up,all,-0.427388792829422,-0.2349202250223837,-32.702258933981746,5.0686096993033235e-145
10,bad is down,all,-0.47797106633624586,-0.2462201522242876,-34.3161440106123,2.8795860325671097e-154
1,importance is size,ADJ,-0.6138308725239318,-0.34417631485285577,-16.980919270956278,2.977465005225053e-28
2,active is life,ADJ,-0.5658039840651147,-0.31371471327322503,-11.305823493983295,2.9328783457717825e-18
3,life is journey,ADJ,-0.5102931518613556,-0.27706572385629014,-7.490904724187102,7.975006454762573e-11
4,failure is death,ADJ,-0.5844077887358489,-0.38186483986951686,-8.744335894950337,2.793999366850736e-13
5,success is life,ADJ,-0.6176635490523444,-0.19702913727128396,-14.667996690574816,2.175810324465527e-24
6,perceiving is eating,ADJ,-0.7156886156694389,-0.4079598086630856,-15.531458525946935,7.255252257255924e-26
7,affection is warmth,ADJ,-0.5513852231296492,-0.38485562209177904,-7.168494550283792,3.3608845498546573e-10
8,money is liquid,ADJ,-0.616685668627421,-0.28153939346913937,-13.674241086167989,1.2253879110437207e-22
9,good is up,ADJ,-0.5637361120294642,-0.27086921839140077,-13.039368219287,1.716202370362303e-21
10,bad is down,ADJ,-0.6527001548696447,-0.33877917196905166,-17.92272898866049,9.64122012726947e-30
1,importance is size,VERB,-0.4613323984322725,-0.3528237921551422,-4.336090061649792,4.189206812276665e-05
2,active is life,VERB,-0.540722534980303,-0.047400894384141315,-20.780328463295355,5.543817427244294e-34
3,life is journey,VERB,-0.4174640075660046,-0.329062026085677,-3.850672440064652,0.0002361313032166343
4,failure is death,VERB,-0.4945804410510593,-0.3475084521108204,-7.661516465381146,3.711071040263831e-11
5,success is life,VERB,-0.5132748874617211,-0.43027202136538645,-4.601402251472951,1.5544039776406228e-05
6,perceiving is eating,VERB,-0.6853106433962598,-0.3235692760591154,-21.146624826020705,1.6946681493233706e-34
7,affection is warmth,VERB,-0.6889833447373943,-0.3822298257240542,-19.144006061353355,1.3236654910382016e-31
8,money is liquid,VERB,-0.7830459659482226,-0.3977439957978549,-27.41383147378044,1.991462156181066e-42
9,good is up,VERB,-0.5993139773239324,-0.36594365787616484,-14.560105350460953,3.350188709820711e-24
10,bad is down,VERB,-0.5633271064287351,-0.19579228571278076,-16.201732366896533,5.5281161666013804e-27
1,importance is size,NOUN,-0.5734533880963738,-0.3745795114007261,-10.184491698056574,4.228261909080956e-16
2,active is life,NOUN,-0.49682076772054035,-0.3130914831183575,-8.588992586409333,5.644277266042992e-13
3,life is journey,NOUN,-0.5784086062584395,-0.2958993341348789,-12.022288663918834,1.300208692535224e-19
4,failure is death,NOUN,-0.44540516241097156,-0.3346681586680589,-4.38563928260724,3.4893058004297504e-05
5,success is life,NOUN,-0.49811800762459085,-0.30283554611382657,-8.404526025795889,1.3005345477025803e-12
6,perceiving is eating,NOUN,-0.7260685158364567,-0.3486726659459096,-24.43225494895894,7.539794334633676e-39
7,affection is warmth,NOUN,-0.5294230764294848,-0.32235219589096525,-7.671299492464198,3.5515636600533685e-11
8,money is liquid,NOUN,-0.827883670359482,-0.37491916048526763,-39.89736362599381,1.431036169359958e-54
9,good is up,NOUN,-0.6349645176051576,-0.27304263965178416,-18.816065191423895,4.114566937383898e-31
10,bad is down,NOUN,-0.6624329796543827,-0.39364566147327423,-14.948015743945708,7.146955612515172e-25
