metaphor_id,metaphor_name,pos,mean_similarity,baseline_performance,test_statistic,p_value
1,importance is size,all,-0.6433494070291244,-0.7245646675015196,18.36260027299155,1.3103950572467073e-59
2,active is life,all,-0.6113084420537758,-0.7100766057605908,21.06701240009163,1.896703098030694e-73
3,life is journey,all,-0.635367930157497,-0.7145520143164986,17.77168057471904,1.2129670993877228e-56
4,failure is death,all,-0.6419251199015884,-0.7177001493010036,14.664394673417007,1.3557425425391215e-41
5,success is life,all,-0.6371268878567755,-0.7093186317509775,14.964221176490433,5.367557369829768e-43
6,perceiving is eating,all,-0.6430177044614628,-0.7269759055319467,16.487058683319937,2.698964254387327e-50
7,affection is warmth,all,-0.6875433503428076,-0.7069111637724541,4.325146014734499,1.797103271400394e-05
8,money is liquid,all,-0.552545778132263,-0.7058667244513563,38.042297234244494,3.743944591275548e-159
9,good is up,all,-0.6869593207282366,-0.7079534905543879,4.498234192045613,8.293446136805105e-06
10,bad is down,all,-0.6738486014363925,-0.7037011783604007,5.900341252877009,6.197825783340482e-09
1,importance is size,ADJ,-0.6228464788864758,-0.7223597957456798,5.662207749247462,3.9489945495807876e-07
2,active is life,ADJ,-0.713461842231343,-0.7537374002375254,2.695500099376986,0.009001403870127846
3,life is journey,ADJ,-0.7117816392569781,-0.7182116958774275,0.4268824800690947,0.6709202544818997
4,failure is death,ADJ,-0.6615646883512472,-0.7303468435357454,4.966725100482069,5.49403193897965e-06
5,success is life,ADJ,-0.7807166314523956,-0.6972934992256735,-6.066202566116661,8.188075588968401e-08
6,perceiving is eating,ADJ,-0.6972872592327638,-0.7628489983529471,3.7883233547026864,0.00034135086029302294
7,affection is warmth,ADJ,-0.6979180821592654,-0.7471593475550075,3.0647124806670765,0.0032056711056789736
8,money is liquid,ADJ,-0.5929598453776398,-0.7225892769971279,9.707617626072663,3.935782391933556e-14
9,good is up,ADJ,-0.7482778966281328,-0.7491559200738095,0.06531157382400116,0.9481327366939123
10,bad is down,ADJ,-0.8374043057037689,-0.7429463987948106,-8.687312067922909,2.2568713029460112e-12
1,importance is size,VERB,-0.7365697076467413,-0.7566800368395634,1.3124620812722168,0.19412580862224396
2,active is life,VERB,-0.572822165510916,-0.7007313901989555,6.9021020072264765,2.9593533776659257e-09
3,life is journey,VERB,-0.8148660336943634,-0.7342242059464027,-5.73008599682235,3.037440987354689e-07
4,failure is death,VERB,-0.612048848901817,-0.73549629561934,6.416771564418,2.051616015471541e-08
5,success is life,VERB,-0.7313664050832758,-0.7572634580194567,1.6290133463565428,0.10830095655313687
6,perceiving is eating,VERB,-0.7196934789664797,-0.7561319616306387,2.826137464055203,0.006304976276622705
7,affection is warmth,VERB,-0.8101811023318597,-0.7085395014131634,-9.607913303341169,5.825588056642469e-14
8,money is liquid,VERB,-0.7491199511170421,-0.7519341069073143,0.2650649747422292,0.7918247726115233
9,good is up,VERB,-0.7748037491325983,-0.7314257088594038,-2.4863253008622914,0.015570344666155585
10,bad is down,VERB,-0.6638231654130244,-0.7068654204537957,2.3381554698078535,0.02256740140424238
1,importance is size,NOUN,-0.8150079549579566,-0.7552137584852386,-4.552169275095977,2.483599025392352e-05
2,active is life,NOUN,-0.7406674275526568,-0.7249690606904943,-1.0335561398013744,0.3052950284862073
3,life is journey,NOUN,-0.6641572453004809,-0.7537312332170419,5.829037027927889,2.0688101296609171e-07
4,failure is death,NOUN,-0.6842258535747143,-0.7508325293702258,4.066605878019305,0.00013498122109220894
5,success is life,NOUN,-0.7599064982205874,-0.7339577662115071,-1.585541804985581,0.1178504319106058
6,perceiving is eating,NOUN,-0.7397295607552532,-0.7264625292269689,-0.9178459977365329,0.36220008301584894
7,affection is warmth,NOUN,-0.7561455197192714,-0.7428441946131888,-0.8528833180297799,0.39695497485862485
8,money is liquid,NOUN,-0.7970301467649858,-0.7264875994136483,-5.881483713959274,1.6866679223048145e-07
9,good is up,NOUN,-0.8172745312007796,-0.7372414724755162,-5.953786999949579,1.2718844825500573e-07
10,bad is down,NOUN,-0.78849079568061,-0.739980763114582,-3.294868379680238,0.001619091141948373
