metaphor_id,metaphor_name,pos,mean_similarity,baseline_performance,test_statistic,p_value
1,importance is size,all,-0.6459656431376887,-0.7242369601876886,20.637450080661676,7.449972293007232e-75
2,active is life,all,-0.6114453306252827,-0.7097016343224949,24.259781846589046,9.705215166541844e-96
3,life is journey,all,-0.6284542886275487,-0.7137849863837337,22.032231323263712,8.028794871971637e-83
4,failure is death,all,-0.6388279107875626,-0.7198605923042021,17.85548731497782,2.0426246647364275e-59
5,success is life,all,-0.6335483758616696,-0.706572438056019,17.628988160103436,3.4074557603320646e-58
6,perceiving is eating,all,-0.6442532853798536,-0.7266773545488944,17.447998136397107,3.196341430228802e-57
7,affection is warmth,all,-0.6766227110582447,-0.7065097476813638,7.2469391116105735,1.0896471291515961e-12
8,money is liquid,all,-0.5457882881929706,-0.7008493919733332,44.60379558661863,2.0720874590775667e-210
9,good is up,all,-0.677835954414217,-0.7078204891435497,6.726673637722081,3.5134800838439986e-11
10,bad is down,all,-0.676285234333285,-0.7020657524205419,5.762431260688805,1.22400824221735e-08
1,importance is size,ADJ,-0.631792578465572,-0.7207268167851053,6.00251325879625,5.403602554127735e-08
2,active is life,ADJ,-0.7087696958523246,-0.7543891245141511,3.365518489085035,0.001175751074006796
3,life is journey,ADJ,-0.706229362756685,-0.7199905642818465,1.0860106941839887,0.28073585415980135
4,failure is death,ADJ,-0.655265033148703,-0.738281680780118,7.070404267686291,5.194724452141196e-10
5,success is life,ADJ,-0.7668107847654589,-0.6935014186036008,-5.92941259354036,7.365280395670654e-08
6,perceiving is eating,ADJ,-0.714547363545119,-0.7622540342630464,2.9129946616251203,0.004638699500559206
7,affection is warmth,ADJ,-0.6795970859742679,-0.7476934941885354,4.4967336756758,2.306809234017655e-05
8,money is liquid,ADJ,-0.5898031826906005,-0.715484069312886,11.341627483136667,2.5069063257104198e-18
9,good is up,ADJ,-0.7413737802536896,-0.7425418835455223,0.09762795329475996,0.9224719127555185
10,bad is down,ADJ,-0.8283085988647922,-0.7429287541756994,-8.881076457182552,1.5045885779409618e-13
1,importance is size,VERB,-0.7411959138666893,-0.756113869994579,1.164622315053004,0.24763310725000157
2,active is life,VERB,-0.576766602095128,-0.6983616122700921,7.930516771701962,1.1063482891530526e-11
3,life is journey,VERB,-0.8045584977074485,-0.7307737885875242,-6.165245062668333,2.6998168226996183e-08
4,failure is death,VERB,-0.6136714726750623,-0.7371406963186783,7.319345796086849,1.7167783892209695e-10
5,success is life,VERB,-0.7377724467379764,-0.7547797972362607,1.2651021078281537,0.20950736064198053
6,perceiving is eating,VERB,-0.7139742989220588,-0.7581846741317725,3.864790790767653,0.00022492181059822274
7,affection is warmth,VERB,-0.8185228432377675,-0.7046413695913196,-11.487001728627998,1.3272644927107876e-18
8,money is liquid,VERB,-0.7446135356406761,-0.7463795189857244,0.19085841157562455,0.8491200531541685
9,good is up,VERB,-0.7381583041245089,-0.732744216751848,-0.30252749788951905,0.7630351654196342
10,bad is down,VERB,-0.6616673252357717,-0.7054253589614691,2.8159664025629585,0.006121735874607084
1,importance is size,NOUN,-0.8094065777961078,-0.756435268924828,-4.562766091141815,1.7992213790624757e-05
2,active is life,NOUN,-0.7377170776123209,-0.7255626360472486,-0.948226182646093,0.3458699424363757
3,life is journey,NOUN,-0.6492934903428799,-0.7530870361649794,7.752688215846125,2.463638204972997e-11
4,failure is death,NOUN,-0.668429294045411,-0.7477160952706413,5.601375775912301,2.907744475914883e-07
5,success is life,NOUN,-0.7537327712716655,-0.7319128075573959,-1.5562378032504856,0.12359897206780872
6,perceiving is eating,NOUN,-0.7336519657196111,-0.7241340166266885,-0.7284056273560212,0.46849217063267934
7,affection is warmth,NOUN,-0.7267945848494533,-0.7449320556497682,1.1106217840703088,0.27005816398870686
8,money is liquid,NOUN,-0.7944314260420025,-0.723884604686405,-6.649205938780068,3.321232339546734e-09
9,good is up,NOUN,-0.8251458941084657,-0.7420063858313667,-7.128942968386512,4.0064936713455526e-10
10,bad is down,NOUN,-0.7988944592144672,-0.736460360039875,-4.9280691942754125,4.406111411769532e-06
