metaphor_id,metaphor_name,pos,mean_similarity,baseline_performance,test_statistic,p_value
1,importance is size,all,-0.4568076540405552,-0.37118154560402034,-12.098803411058356,3.5277337945561915e-30
2,active is life,all,-0.36820084963821703,-0.3212894594277152,-6.338486305700098,4.691967463092931e-10
3,life is journey,all,-0.34723580525153214,-0.27955377506257767,-8.524943360438558,1.350625692545869e-16
4,failure is death,all,-0.31522523280647063,-0.3565698200410439,5.405091809929828,9.504468963700855e-08
5,success is life,all,-0.46065129308650893,-0.36535661373018385,-12.210921768035538,1.1843974117023695e-30
6,perceiving is eating,all,-0.45610666275024414,-0.36069353727748,-12.898750308165976,1.2940754942851776e-33
7,affection is warmth,all,-0.594747306054665,-0.3509305667301847,-27.72586128983077,4.5503235561301455e-108
8,money is liquid,all,-0.536692780132095,-0.4114285884255336,-21.12469777696273,9.537073154590815e-74
9,good is up,all,-0.5051321321063571,-0.3328879823010001,-22.925525244029764,4.1678583640453966e-83
10,bad is down,all,-0.543025448711382,-0.3511223431875309,-25.758818019722167,7.112307055371767e-98
1,importance is size,ADJ,-0.37825876753777266,-0.4046445705989996,1.013243915772389,0.3148193845764275
2,active is life,ADJ,-0.33305917028337717,-0.381452564249436,1.702331587117989,0.09362316156818401
3,life is journey,ADJ,-0.3602241510525346,-0.22994440395385027,-4.022792842090533,0.0001565531467088967
4,failure is death,ADJ,-0.4918637778609991,-0.42760632022718587,-2.481080341079979,0.015780110666424988
5,success is life,ADJ,-0.42707836627960205,-0.3171042120444278,-3.714792826416937,0.00043369146225186856
6,perceiving is eating,ADJ,-0.4586492795497179,-0.4367276868944367,-0.8254736160012083,0.4122177095949494
7,affection is warmth,ADJ,-0.5649647451937199,-0.41871731734524165,-5.825410230475252,2.0981984188117903e-07
8,money is liquid,ADJ,-0.6253590192645788,-0.457923722696801,-9.23893482075218,2.5044731114049385e-13
9,good is up,ADJ,-0.6166993733495474,-0.3767530503248175,-11.634464676051026,2.4538070563139253e-17
10,bad is down,ADJ,-0.7130663171410561,-0.4113128147001068,-13.22158173824652,7.815695855487878e-20
1,importance is size,VERB,-0.5824568402022123,-0.42465400367602707,-7.833239906755281,6.98477171722567e-11
2,active is life,VERB,-0.6533118486404419,-0.32514898024996125,-14.060677637907117,4.257492676286562e-21
3,life is journey,VERB,-0.6404248867183924,-0.41897300074870386,-9.568036708708057,6.816454677309674e-14
4,failure is death,VERB,-0.5074731316417456,-0.4240382516570389,-3.5690720539232985,0.0006918226553898945
5,success is life,VERB,-0.6159088108688593,-0.45796849888438984,-6.74650487733042,5.516411430833424e-09
6,perceiving is eating,VERB,-0.7603682801127434,-0.4092510696016252,-23.366376794074462,9.717477877709719e-33
7,affection is warmth,VERB,-0.6864943653345108,-0.36138045816496017,-17.187892608492767,1.8065122677183879e-25
8,money is liquid,VERB,-0.6623664405196905,-0.47486674471944573,-11.091572998085322,1.8830265359811683e-16
9,good is up,VERB,-0.5880322903394699,-0.44317424410457407,-5.889777115272518,1.6330037085442207e-07
10,bad is down,VERB,-0.5398246115073562,-0.4427539489182333,-3.392295645707776,0.0012021958578483766
1,importance is size,NOUN,-0.5635900907218456,-0.4306257531729837,-5.553597095865953,5.999041497788183e-07
2,active is life,NOUN,-0.6527300328016281,-0.4058980179317296,-10.70147778339427,8.316437406952445e-16
3,life is journey,NOUN,-0.5775203891098499,-0.4098954563873509,-6.950839380274369,2.434148170224515e-09
4,failure is death,NOUN,-0.43415970727801323,-0.3707978423523406,-2.4097946685526774,0.018894292841794114
5,success is life,NOUN,-0.5983434319496155,-0.41112666796396174,-7.335695865413937,5.183979309073044e-10
6,perceiving is eating,NOUN,-0.6033680438995361,-0.40926375604172543,-10.093279949738713,8.708803677156122e-15
7,affection is warmth,NOUN,-0.5774207171052694,-0.38595045786971843,-6.067811329521954,8.136524709465852e-08
8,money is liquid,NOUN,-0.7458505779504776,-0.45197815977409483,-17.390195528544545,9.807692069368735e-26
9,good is up,NOUN,-0.5668425336480141,-0.3712226535951098,-8.248524478822254,1.3124400249702298e-11
10,bad is down,NOUN,-0.6410053465515375,-0.444474305704236,-8.822030716823193,1.316950600023069e-12
