metaphor_id,metaphor_name,pos,mean_similarity,baseline_performance,test_statistic,p_value
1,importance is size,all,-0.4605631299306663,-0.368447270937172,-15.035363738625279,1.0750228023227298e-44
2,active is life,all,-0.3694472850104909,-0.3260463501819306,-6.751132712040379,2.998720942854407e-11
3,life is journey,all,-0.3265646707537406,-0.2718440935343136,-7.721723693723296,3.7993628214384236e-14
4,failure is death,all,-0.305832025118489,-0.3510126113247724,6.759617289430057,2.838052712257743e-11
5,success is life,all,-0.45018748041697165,-0.36006893645226956,-13.458984123714984,4.922139688564131e-37
6,perceiving is eating,all,-0.4415537613573061,-0.36862400862169853,-10.798129539209533,2.582071667442479e-25
7,affection is warmth,all,-0.5940599522472899,-0.3594047538972931,-29.86548144796477,1.4366545392754774e-128
8,money is liquid,all,-0.5338535684944017,-0.406217678827636,-24.957378481880294,8.138440994471007e-100
9,good is up,all,-0.49346462918243617,-0.33227067007473954,-23.448130852029802,5.182784581677914e-91
10,bad is down,all,-0.5467015753394128,-0.3551274432650319,-29.49030812297286,2.228436242246753e-126
1,importance is size,ADJ,-0.3797022494269006,-0.40390038760061625,1.1204834260302081,0.26586027946936275
2,active is life,ADJ,-0.31477950899689283,-0.37077606729224877,2.28971347031398,0.024673179568961826
3,life is journey,ADJ,-0.3246626853942871,-0.22532744016139597,-3.402344919304059,0.0010457461578848991
4,failure is death,ADJ,-0.4767024443473345,-0.43647566194997894,-1.825965549596002,0.0715865632603705
5,success is life,ADJ,-0.40665176915533746,-0.31588788873288365,-3.549370887230886,0.0006499076117533436
6,perceiving is eating,ADJ,-0.42718257580274416,-0.4386779654931139,0.4842972257186814,0.629498190421552
7,affection is warmth,ADJ,-0.5627107914583183,-0.43690125496299176,-5.6823807826817205,2.0770398690852647e-07
8,money is liquid,ADJ,-0.625016196274463,-0.44422193509229907,-11.2979796363892,3.0355163341105487e-18
9,good is up,ADJ,-0.6207750682477597,-0.36729290994560276,-13.804183834808933,7.182972930694252e-23
10,bad is down,ADJ,-0.699950110765151,-0.4113664721471292,-14.771693898665683,1.439014198258461e-24
1,importance is size,VERB,-0.5875635161811923,-0.4249843038055632,-9.499839316710124,9.177196495266464e-15
2,active is life,VERB,-0.6729104180394867,-0.34525241800370043,-15.252761742590485,2.152071127472758e-25
3,life is journey,VERB,-0.612098115461844,-0.4085562208383171,-9.803966623021863,2.331881926958053e-15
4,failure is death,VERB,-0.4972113253157816,-0.4114131543570095,-4.047298066775938,0.00011884779850753728
5,success is life,VERB,-0.6171521537097884,-0.4487357501564203,-8.4427416980279,1.0940535171859018e-12
6,perceiving is eating,VERB,-0.7597019804848565,-0.42961643809080124,-22.85342738198663,8.144499905855486e-37
7,affection is warmth,VERB,-0.7047120008939578,-0.3537152673778711,-21.128030092385682,1.7991347807233517e-34
8,money is liquid,VERB,-0.6712173826900529,-0.47924314204299895,-13.520497205963094,2.31155137186522e-22
9,good is up,VERB,-0.5381923207530269,-0.43850990624560243,-4.048994260051072,0.00011813598436322752
10,bad is down,VERB,-0.5384962934034841,-0.46168811887171535,-3.0995816436631607,0.0026749236988960327
1,importance is size,NOUN,-0.5627901745431217,-0.42234714784555966,-6.62587314359734,3.6778685673714536e-09
2,active is life,NOUN,-0.649059784265212,-0.41087819488622523,-12.231363776232842,5.290745248252699e-20
3,life is journey,NOUN,-0.555003230954394,-0.400258364038335,-7.241565032914425,2.4281216347342235e-10
4,failure is death,NOUN,-0.4081943049842929,-0.3577813084070329,-2.179873448629115,0.032206848981754334
5,success is life,NOUN,-0.5834458080338843,-0.40544790024227567,-8.185439632370034,3.5017139350010707e-12
6,perceiving is eating,NOUN,-0.5853591377352491,-0.4118258286250962,-9.968254153426358,1.1145716437063618e-15
7,affection is warmth,NOUN,-0.5537742847277795,-0.401026329399259,-5.326756472591726,8.968702191027374e-07
8,money is liquid,NOUN,-0.7429361696596499,-0.4453583427270254,-20.20153310424428,3.715820634813849e-33
9,good is up,NOUN,-0.5707970798751454,-0.3827704675948178,-9.248445431616405,2.855796895223446e-14
10,bad is down,NOUN,-0.6521240649399934,-0.4369814153048728,-11.533046061417815,1.0856013598602163e-18
