metaphor_id,metaphor_name,pos,mean_similarity,baseline_performance,test_statistic,p_value
1,importance is size,all,-0.4123265711368357,-0.35684306467094534,-9.289695185001666,1.7531744213145476e-19
2,active is life,all,-0.35826127224988896,-0.3095522562790616,-7.467755835141746,2.3381318045812634e-13
3,life is journey,all,-0.3661169346794997,-0.267702930547389,-13.658617232554894,5.605171837756825e-38
4,failure is death,all,-0.31981400305351604,-0.34279527019461,3.401381874399111,0.0007070736826427475
5,success is life,all,-0.4509918368402332,-0.34466865709516004,-15.826852811685006,1.0430616356179748e-48
6,perceiving is eating,all,-0.3909798585011308,-0.35761095082060795,-4.885397693959682,1.269995175375147e-06
7,affection is warmth,all,-0.5384041250814954,-0.3496704181061115,-24.5628704925873,1.6487254544956722e-97
8,money is liquid,all,-0.520671109930805,-0.3920793590792167,-24.201603198833816,2.1207209138758982e-95
9,good is up,all,-0.41607375449113887,-0.3266493143729957,-13.332548729177708,1.9297601136544615e-36
10,bad is down,all,-0.5032619129973674,-0.3395717180205716,-25.37354164231901,2.9811149531800217e-102
1,importance is size,ADJ,-0.33890202310350204,-0.3953522613766016,2.6185391813005334,0.010559530912885024
2,active is life,ADJ,-0.3043872287243973,-0.3628347530707165,2.3937376982444327,0.01901868496334367
3,life is journey,ADJ,-0.3406431594012696,-0.2251255211278244,-4.055439509176918,0.00011546837315120523
4,failure is death,ADJ,-0.47255017580809416,-0.4266572804903543,-1.9959471105247104,0.04934246768161106
5,success is life,ADJ,-0.39395194509882986,-0.2989197000596258,-3.6246553619091664,0.0005070024466056329
6,perceiving is eating,ADJ,-0.37665177863321186,-0.4382158250345124,2.725198200155161,0.007891147222417013
7,affection is warmth,ADJ,-0.5138367723535608,-0.42836967283045807,-3.901906312067828,0.0001978288485822529
8,money is liquid,ADJ,-0.7157749894224568,-0.42296499784566743,-17.02622095697301,2.5182565612671835e-28
9,good is up,ADJ,-0.6197640115832105,-0.3617505755038173,-13.86016845883736,5.710094749450483e-23
10,bad is down,ADJ,-0.6773573778293751,-0.40077527350628817,-14.76573808054794,1.4735393691742288e-24
1,importance is size,VERB,-0.5460423952267494,-0.41379567378759385,-7.523280586325891,6.898640588522059e-11
2,active is life,VERB,-0.6862532400790556,-0.32541982164758226,-16.759048764350872,6.787969684443969e-28
3,life is journey,VERB,-0.6112754550980933,-0.3957420190186412,-10.18476545644509,4.223084390758675e-16
4,failure is death,VERB,-0.5655579831865098,-0.42426540999169704,-6.6355419392787045,3.525696018542267e-09
5,success is life,VERB,-0.6002803761282085,-0.4510922826252602,-7.42774993775292,1.0579054994530607e-10
6,perceiving is eating,VERB,-0.7226203282674154,-0.4226942568575894,-20.076842481553726,5.625462501778006e-33
7,affection is warmth,VERB,-0.7027333135958072,-0.3443382616859896,-21.14932730692192,1.680003998916537e-34
8,money is liquid,VERB,-0.5816051930557062,-0.4794089061750306,-7.165055208864068,3.412656344780089e-10
9,good is up,VERB,-0.5546728181250301,-0.44949247439481593,-4.205553325375537,6.744567323884326e-05
10,bad is down,VERB,-0.5151030119554496,-0.44132938456535337,-3.231305785883015,0.0017898492567713204
1,importance is size,NOUN,-0.5922012682314273,-0.40949126103410016,-8.806321040266498,2.110423645964405e-13
2,active is life,NOUN,-0.6402147287203942,-0.39517902966450763,-12.519139929683405,1.546949869035501e-20
3,life is journey,NOUN,-0.49752028930334397,-0.38586454403179665,-5.263120980959872,1.1604846710471824e-06
4,failure is death,NOUN,-0.39668501012119245,-0.3435954158328198,-2.3823532413249033,0.01957556258670537
5,success is life,NOUN,-0.5772585294864796,-0.3870896552547261,-8.701051434388166,3.398758910866142e-13
6,perceiving is eating,NOUN,-0.5248579611012965,-0.3970006064143446,-6.452658424365608,7.819507484039381e-09
7,affection is warmth,NOUN,-0.5219159405908467,-0.39996710609285924,-4.304730319878262,4.7003469076400664e-05
8,money is liquid,NOUN,-0.7038482736658167,-0.43620444750785825,-16.133957601787337,7.1532776549175e-27
9,good is up,NOUN,-0.4898402867493806,-0.3677428845851509,-5.8365214265336,1.089669995140498e-07
10,bad is down,NOUN,-0.6734263749770176,-0.4294135166494935,-12.397336674514,2.6002672812506006e-20
