metaphor_id,metaphor_name,pos,mean_similarity,baseline_performance,test_statistic,p_value
1,importance is size,all,0.115582920071644,0.17814859774719513,-25.83626883622442,2.8131835832755068e-98
2,active is life,all,0.17919777422659677,0.20733941341767262,-11.348474148627329,4.491566290422612e-27
3,life is journey,all,0.15196155823375146,0.17226126780048948,-10.204184156807685,1.3929799376764514e-22
4,failure is death,all,0.15717454136259035,0.17537203455078085,-7.199541505520924,1.898776937437044e-12
5,success is life,all,0.20081123134028456,0.17890558204185525,8.027394896054274,5.636527053200414e-15
6,perceiving is eating,all,0.12176290034329686,0.17893461545254358,-24.20389061566483,8.982293086502636e-90
7,affection is warmth,all,0.11651391645031935,0.17369914741746068,-26.403472402901723,3.179037049920035e-101
8,money is liquid,all,0.12529339297951791,0.16566046382445868,-20.928798764763037,9.83980318934987e-73
9,good is up,all,0.12926743492480977,0.16352812593338903,-13.746529653425094,2.2056975237189366e-37
10,bad is down,all,0.12648056637713967,0.1770569098776996,-21.146857932168107,7.32294592628117e-74
1,importance is size,ADJ,0.08082577952430306,0.12455087698096562,-7.305221227720965,5.860478824414364e-10
2,active is life,ADJ,0.17766882602401646,0.13077597568802143,4.835148051416949,8.91834553914016e-06
3,life is journey,ADJ,0.1615995203687824,0.1280628268718453,4.048694322220494,0.00014342937228930457
4,failure is death,ADJ,0.13288464355380653,0.12393710078202216,1.0381590686660076,0.3031642096128533
5,success is life,ADJ,0.1407414784037866,0.1510817711203602,-1.216231205907078,0.22843419872100063
6,perceiving is eating,ADJ,0.0646057340388963,0.13958617567223305,-15.539678736329522,3.1348145931657036e-23
7,affection is warmth,ADJ,0.07515144308147395,0.10947512079268501,-4.817388328954859,9.517343455878442e-06
8,money is liquid,ADJ,0.10429199459233601,0.1319906077585408,-3.568831437801573,0.0006923504968151467
9,good is up,ADJ,0.08634518954125267,0.11874715396764059,-4.733382600114969,1.2926968821411868e-05
10,bad is down,ADJ,0.07751746446576466,0.12815655260640452,-8.795096947597763,1.4665750531966849e-12
1,importance is size,VERB,0.13057068888416912,0.11948580924693106,1.2533128979494481,0.21472335922004945
2,active is life,VERB,0.11474260477736946,0.18747187288570002,-7.616831298757455,1.6706133882514122e-10
3,life is journey,VERB,0.11242709421045433,0.12434487338124069,-1.4989977924569113,0.13886876372749132
4,failure is death,VERB,0.16425756455400703,0.12824109669870773,3.9092094755044173,0.0002290631179839958
5,success is life,VERB,0.10212271887500332,0.11696452538021639,-2.173372889656834,0.0335191395899209
6,perceiving is eating,VERB,0.1008780781689457,0.11519744108987236,-2.1857004989486404,0.032562326660315645
7,affection is warmth,VERB,0.073477129483629,0.11311951660023373,-6.791446004684219,4.609052849162879e-09
8,money is liquid,VERB,0.06991105935262454,0.12330183469819798,-10.712829641914878,7.962712147629208e-16
9,good is up,VERB,0.10637991014561432,0.11505017720157024,-1.2725839311392007,0.2078423789949021
10,bad is down,VERB,0.08460917404581461,0.1330620534820995,-6.638636464270512,8.486237734899655e-09
1,importance is size,NOUN,0.10371552382243149,0.12022622314969357,-2.080161810233517,0.041584193872171486
2,active is life,NOUN,0.10650870045990367,0.14798050825804357,-4.890147388293546,7.287878093546811e-06
3,life is journey,NOUN,0.07650801229479474,0.11956022637354707,-7.753934243003379,9.61468605867743e-11
4,failure is death,NOUN,0.1252576533968787,0.11677979470477658,1.0445837486672915,0.300207015766931
5,success is life,NOUN,0.09377001223898603,0.1207795971918283,-3.571728993597911,0.0006860195066065607
6,perceiving is eating,NOUN,0.10176424465592318,0.12410224627824971,-3.763903559368263,0.00036970260153911465
7,affection is warmth,NOUN,0.08366734526184896,0.10639709636565842,-3.307305941678301,0.0015591424479215533
8,money is liquid,NOUN,0.07094731301484747,0.12202048996229024,-11.276071623345663,9.384103255952964e-17
9,good is up,NOUN,0.0832460078870213,0.11092549815646441,-4.209604592316503,8.275100040797272e-05
10,bad is down,NOUN,0.08564307866907528,0.10940721407706926,-3.5875832377860295,0.0006523428403589118
