metaphor-id,metaphor-name,pos,mean_similarity,baseline_performance,test_statistic,p_value
1,importance is size,all,0.31992573577231015,0.3682269772383098,-11.853728498674766,9.222625770769437e-30
2,active is life,all,0.3872805412536786,0.412501932000665,-5.475185377744549,6.25951275008829e-08
3,life is journey,all,0.2975003492469207,0.37936486745632314,-21.268189123996677,7.760312491209126e-78
4,failure is death,all,0.34967573494005266,0.36904963855263334,-4.851655831109585,1.4982983816420258e-06
5,success is life,all,0.3474556875794574,0.3770556561192967,-7.445343450656268,2.7382158804815806e-13
6,perceiving is eating,all,0.2783988716671006,0.3741672049312163,-31.1740726203467,3.47201852899424e-136
7,affection is warmth,all,0.3011794647313336,0.3690910137225577,-15.850296338600463,1.384821481960214e-48
8,money is liquid,all,0.23752674214038563,0.3788132293997832,-40.36476461563365,6.405112631297993e-188
9,good is up,all,0.27892372653460634,0.3737728486782275,-25.69624432686969,3.834248774722461e-104
10,bad is down,all,0.30220227081466605,0.38868078118259947,-22.78969209899678,3.417282529518203e-87
1,importance is size,ADJ,0.2893565814068288,0.3837558897707559,-9.531242732982061,7.965102321057646e-15
2,active is life,ADJ,0.3791462374322208,0.36676333283406193,0.9461952294678676,0.34689824090322685
3,life is journey,ADJ,0.3306968408740229,0.39529716731212966,-5.183661463523557,1.9610803656607395e-06
4,failure is death,ADJ,0.3275220180735176,0.3573059581819187,-2.7685163457741218,0.006995419921871177
5,success is life,ADJ,0.3665511911665952,0.41242395842812923,-4.2204103429546285,6.391288450651939e-05
6,perceiving is eating,ADJ,0.3100307922304412,0.37147841361281236,-8.02580574721533,7.1991718562419285e-12
7,affection is warmth,ADJ,0.36044773190385765,0.35395322374569427,0.5297378365427552,0.5979463683754356
8,money is liquid,ADJ,0.24369521862194862,0.38681040916118326,-10.90904642428334,1.6828032884374362e-17
9,good is up,ADJ,0.29920429046507235,0.3884832758791055,-7.444046156537717,9.835500418582356e-11
10,bad is down,ADJ,0.30472566923241556,0.37603624181262857,-7.887150840343695,1.3450915983389105e-11
1,importance is size,VERB,0.43121880302090704,0.35996085924878257,5.457054403371829,5.270588086042414e-07
2,active is life,VERB,0.4610964865596206,0.48728852239460396,-3.372346319565327,0.0011505524139372107
3,life is journey,VERB,0.4147185720043418,0.3647727651817487,3.9657396658882997,0.00015838049111329937
4,failure is death,VERB,0.4525939476342849,0.37162827867898157,9.878647357756023,1.6668351267486599e-15
5,success is life,VERB,0.45213746399055293,0.3498555634769879,9.964406135032844,1.1339915697925213e-15
6,perceiving is eating,VERB,0.38428536940504004,0.38869228610914797,-0.5242523524202886,0.6015525963622406
7,affection is warmth,VERB,0.35777242481708527,0.3702440092998037,-1.3226169932229916,0.18973134890742135
8,money is liquid,VERB,0.32899994651476544,0.3792764065743504,-6.522542704094617,5.77150478559875e-09
9,good is up,VERB,0.4217063144401268,0.36522237720940237,6.606265387320829,4.006738290125849e-09
10,bad is down,VERB,0.4690284037295683,0.41209428328006054,6.381939140227556,1.0623043135651591e-08
1,importance is size,NOUN,0.395949070284396,0.3535732285980922,3.27072393597171,0.0015838098132577346
2,active is life,NOUN,0.44838407001009695,0.36921602370336287,5.0022211821365445,6.589063319594528e-06
3,life is journey,NOUN,0.3354203230069007,0.37132000639191026,-3.724058965083692,0.00036352307477160084
4,failure is death,NOUN,0.4430155583001949,0.3753722051099909,5.508215160406703,4.2716496823754297e-07
5,success is life,NOUN,0.41250043481956294,0.36889566322731104,3.4583979671961123,0.0008735910724742522
6,perceiving is eating,NOUN,0.3139637636917609,0.3763226578789648,-7.361572850145792,1.4218906270598008e-10
7,affection is warmth,NOUN,0.36389560381203523,0.3717563484793953,-0.5075042452584675,0.6131973471497533
8,money is liquid,NOUN,0.26408980032544077,0.36575896237240985,-18.726634181480552,5.618168461736433e-31
9,good is up,NOUN,0.26446959413128135,0.37253720070889373,-10.059113513728901,7.414524964500065e-16
10,bad is down,NOUN,0.30798452181948555,0.3653596290554506,-5.279732476252495,1.085128167488011e-06
