metaphor_id,metaphor_name,pos,mean_similarity,baseline_performance,test_statistic,p_value
1,importance is size,all,0.23396479829938877,0.3189253794282882,-20.89826035914518,1.4154068488031694e-72
2,active is life,all,0.3125999476243224,0.40559339307643116,-19.316192092962005,1.906340088579363e-64
3,life is journey,all,0.22152309109353358,0.3293076667161141,-23.293649916391963,5.021706737677768e-85
4,failure is death,all,0.258591638205366,0.319451180924144,-14.304700306941834,6.2766719105628064e-40
5,success is life,all,0.21778702782467008,0.3373794625584399,-27.710728732693003,5.446511154334478e-108
6,perceiving is eating,all,0.17342496601243815,0.3420503808873602,-50.133569103974004,4.71643611027262e-212
7,affection is warmth,all,0.2357431079985367,0.3236617780368154,-19.844870975248384,3.767513489547336e-67
8,money is liquid,all,0.20213534688163134,0.3237458441944586,-37.61797905485544,3.7398338607905805e-157
9,good is up,all,0.21258503291755915,0.3318217765441578,-29.577860028589082,1.429741583201933e-117
10,bad is down,all,0.21443630071977773,0.3309132864543548,-27.68072736073591,7.77908067542256e-108
1,importance is size,ADJ,0.16158520337194204,0.22346749841701238,-5.813394629708708,2.1985429884902498e-07
2,active is life,ADJ,0.20306617487221956,0.25666893847286704,-4.0876593471248235,0.00012566402157169804
3,life is journey,ADJ,0.21966344909742475,0.2502802094374783,-1.6461106663839449,0.10472122902430607
4,failure is death,ADJ,0.21106912195682526,0.2354979508370161,-1.7623226511412171,0.08286545451849656
5,success is life,ADJ,0.1364119192585349,0.26960856385179793,-9.265628604257694,2.2528868114511153e-13
6,perceiving is eating,ADJ,0.1151787219569087,0.21284656010568143,-8.797209565805856,1.454245988287424e-12
7,affection is warmth,ADJ,0.15068741887807846,0.18529454981442542,-2.2291021491001524,0.02938169828711493
8,money is liquid,ADJ,0.18167106295004487,0.25557731695473196,-5.188450206374898,2.4028398334640725e-06
9,good is up,ADJ,0.169392473064363,0.2609086714917794,-6.959310051840819,2.3528487583081527e-09
10,bad is down,ADJ,0.14658627659082413,0.23515296091791243,-8.105231469299719,2.3357483720034934e-11
1,importance is size,VERB,0.27788905380293727,0.27597138957586137,0.12686310912278545,0.899452785940055
2,active is life,VERB,0.21549568884074688,0.4065031704294961,-13.399874387874764,4.1797536082563295e-20
3,life is journey,VERB,0.2208045283332467,0.23301680684555323,-0.7006290044055944,0.48611420076105216
4,failure is death,VERB,0.2272113049402833,0.22238498341292143,0.3905265765968946,0.6974646324905478
5,success is life,VERB,0.2309200121089816,0.19142920017242432,3.487990979872993,0.000893119490962862
6,perceiving is eating,VERB,0.14827006123960018,0.23896667083725334,-9.207237159358199,2.840152676547406e-13
7,affection is warmth,VERB,0.12812655325978994,0.2271070356341079,-10.438421831346346,2.285882739898407e-15
8,money is liquid,VERB,0.10592996794730425,0.19383457891177386,-11.473667870474282,4.470790840388682e-17
9,good is up,VERB,0.1283040288835764,0.22357142974156885,-10.58118733233848,1.3192770183648357e-15
10,bad is down,VERB,0.17756235972046852,0.26116285680560397,-6.333273019080055,2.856495644664001e-08
1,importance is size,NOUN,0.18382209353148937,0.20470487544313073,-1.6697411207678372,0.09993260885005126
2,active is life,NOUN,0.23226836044341326,0.24421734544914217,-0.8602155141595861,0.39293205867497527
3,life is journey,NOUN,0.18018625490367413,0.25652526720426977,-5.899116648775424,1.5745909646297835e-07
4,failure is death,NOUN,0.19002736452966928,0.22427681979257613,-2.0957609968835915,0.04012722750731356
5,success is life,NOUN,0.1408794792369008,0.20978854686487466,-5.258238134785342,1.847401125161553e-06
6,perceiving is eating,NOUN,0.1251517105847597,0.2398625634238124,-12.206617097960088,2.977758330957339e-18
7,affection is warmth,NOUN,0.19949631672352552,0.23952745229937136,-2.634705443460068,0.01058556952787077
8,money is liquid,NOUN,0.08424568828195333,0.21401193268131466,-18.653034351508737,2.403437219925729e-27
9,good is up,NOUN,0.17382157873362303,0.2732271779095754,-8.337106637487839,9.192957948553847e-12
10,bad is down,NOUN,0.11363366711884737,0.18701036618091166,-7.001095550721151,1.9897280217264117e-09
