word_pos,domain,metaphor_id,weight
dominate_VERB,importance,1_1,1
prevail_VERB,importance,1_1,1
predominate_VERB,importance,1_1,1
overshadow_VERB,importance,1_1,1
signify_VERB,importance,1_1,1
affect_VERB,importance,1_1,1
mean_VERB,importance,1_1,1
matter_VERB,importance,1_1,2
importance_NOUN,importance,1_1,2
value_NOUN,importance,1_1,1
status_NOUN,importance,1_1,1
attention_NOUN,importance,1_1,1
prominence_NOUN,importance,1_1,1
worth_NOUN,importance,1_1,1
emphasis_NOUN,importance,1_1,1
influence_NOUN,importance,1_1,1
important_ADJ,importance,1_1,2
essential_ADJ,importance,1_1,1
acute_ADJ,importance,1_1,1
significant_ADJ,importance,1_1,1
meaningful_ADJ,importance,1_1,1
relevant_ADJ,importance,1_1,1
urgent_ADJ,importance,1_1,1
necessary_ADJ,importance,1_1,1
grow_VERB,size,1_2,1
magnify_VERB,size,1_2,1
amplify_VERB,size,1_2,1
expand_VERB,size,1_2,1
enlarge_VERB,size,1_2,2
broaden_VERB,size,1_2,1
increase_VERB,size,1_2,1
swell_VERB,size,1_2,1
amount_NOUN,size,1_2,1
size_NOUN,size,1_2,2
range_NOUN,size,1_2,1
immensity_NOUN,size,1_2,1
enormity_NOUN,size,1_2,1
enormousness_NOUN,size,1_2,1
bigness_NOUN,size,1_2,1
massiveness_NOUN,size,1_2,1
big_ADJ,size,1_2,2
large_ADJ,size,1_2,1
huge_ADJ,size,1_2,1
grand_ADJ,size,1_2,1
vast_ADJ,size,1_2,1
massive_ADJ,size,1_2,1
enormous_ADJ,size,1_2,1
tremendous_ADJ,size,1_2,1
activate_VERB,active,2_1,2
bestir_VERB,active,2_1,1
mobilize_VERB,active,2_1,1
energize_VERB,active,2_1,1
motivate_VERB,active,2_1,1
move_VERB,active,2_1,1
start_VERB,active,2_1,1
stimulate_VERB,active,2_1,1
action_NOUN,active,2_1,1
activity_NOUN,active,2_1,1
activation_NOUN,active,2_1,1
movement_NOUN,active,2_1,1
exercise_NOUN,active,2_1,1
activeness_NOUN,active,2_1,2
animation_NOUN,active,2_1,1
motion_NOUN,active,2_1,1
active_ADJ,active,2_1,2
effective_ADJ,active,2_1,1
busy_ADJ,active,2_1,1
dynamic_ADJ,active,2_1,1
energetic_ADJ,active,2_1,1
enthusiastic_ADJ,active,2_1,1
mobile_ADJ,active,2_1,1
athletic_ADJ,active,2_1,1
live_VERB,life,2_2.3_1.5_2,2
be_VERB,life,2_2.3_1.5_2,1
breathe_VERB,life,2_2.3_1.5_2,1
exist_VERB,life,2_2.3_1.5_2,1
survive_VERB,life,2_2.3_1.5_2,1
persist_VERB,life,2_2.3_1.5_2,1
experience_VERB,life,2_2.3_1.5_2,1
endure_VERB,life,2_2.3_1.5_2,1
life_NOUN,life,2_2.3_1.5_2,2
being_NOUN,life,2_2.3_1.5_2,1
liveliness_NOUN,life,2_2.3_1.5_2,1
vitality_NOUN,life,2_2.3_1.5_2,1
existence_NOUN,life,2_2.3_1.5_2,1
survival_NOUN,life,2_2.3_1.5_2,1
lifetime_NOUN,life,2_2.3_1.5_2,1
growth_NOUN,life,2_2.3_1.5_2,1
living_ADJ,life,2_2.3_1.5_2,1
alive_ADJ,life,2_2.3_1.5_2,2
vital_ADJ,life,2_2.3_1.5_2,1
breathing_ADJ,life,2_2.3_1.5_2,1
animate_ADJ,life,2_2.3_1.5_2,1
existing_ADJ,life,2_2.3_1.5_2,1
growing_ADJ,life,2_2.3_1.5_2,1
live_ADJ,life,2_2.3_1.5_2,1
move_VERB,journey,3_2,1
ship_VERB,journey,3_2,1
sail_VERB,journey,3_2,1
navigate_VERB,journey,3_2,1
travel_VERB,journey,3_2,2
